m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,5,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53",
2,5,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53",
3,5,"2,3,5,7",2^3 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53",
4,5,"2,3,5,7",2^6 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53",
5,5,"2,3,5,7",2^4 * 3^3 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53",
6,5,"2,3,5,7",2^5 * 3^3 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53",
7,5,"2,3,5,7,11",2^4 * 3^2 * 5^1 * 7^1 * 11^1,0,"13,17,19,23,29,31,37,41,43,47,53",
8,5,"2,3,5,11",2^6 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47,53",
9,5,"2,3,5,11,13",2^3 * 3^3 * 5^1 * 11^1 * 13^1,0,"7,17,19,23,29,31,37,41,43,47,53",
10,5,"2,3,5,7,11,13",2^4 * 3^1 * 5^1 * 7^1 * 11^1 * 13^1,0,"17,19,23,29,31,37,41,43,47,53",
11,5,"2,3,5,7,11,13",2^3 * 3^2 * 5^1 * 7^1 * 11^1 * 13^1,0,"17,19,23,29,31,37,41,43,47,53",
12,5,"2,3,5,7,13",2^7 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43,47,53",
13,5,"2,3,5,7,13,17",2^5 * 3^1 * 5^1 * 7^1 * 13^1 * 17^1,0,"11,19,23,29,31,37,41,43,47,53",
14,5,"2,3,5,7,17",2^6 * 3^3 * 5^1 * 7^1 * 17^1,0,"11,13,19,23,29,31,37,41,43,47,53",
15,5,"2,3,5,17,19",2^5 * 3^3 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29,31,37,41,43,47,53",
16,5,"2,3,5,17,19",2^7 * 3^2 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29,31,37,41,43,47,53",
17,5,"2,3,5,7,17,19",2^3 * 3^3 * 5^1 * 7^1 * 17^1 * 19^1,0,"11,13,23,29,31,37,41,43,47,53",
18,5,"2,3,5,7,11,19",2^4 * 3^3 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23,29,31,37,41,43,47,53",
19,5,"2,3,5,7,11,19,23",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1 * 23^1,0,"13,17,29,31,37,41,43,47,53",
20,5,"2,3,5,7,11,23",2^6 * 3^2 * 5^1 * 7^1 * 11^1 * 23^1,0,"13,17,19,29,31,37,41,43,47,53",
