m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,4,"2,3",2^3 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41",
2,4,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41",
3,4,"2,3,5",2^3 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41",
4,4,"2,3,5,7",2^3 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41",
5,4,"2,3,5,7",2^4 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41",
6,4,"2,3,7",2^4 * 3^3 * 7^1,0,"5,11,13,17,19,23,29,31,37,41",
7,4,"2,3,5,7",2^4 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41",
8,4,"2,3,5,11",2^4 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41",
9,4,"2,3,5,11",2^3 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41",
10,4,"2,3,5,11,13",2^3 * 3^1 * 5^1 * 11^1 * 13^1,0,"7,17,19,23,29,31,37,41",
11,4,"2,3,7,11,13",2^3 * 3^1 * 7^1 * 11^1 * 13^1,0,"5,17,19,23,29,31,37,41",
12,4,"2,3,5,7,13",2^3 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41",
13,4,"2,3,5,7,13",2^5 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41",
14,4,"2,3,5,7,17",2^5 * 3^1 * 5^1 * 7^1 * 17^1,0,"11,13,19,23,29,31,37,41",
15,4,"2,3,5,17",2^5 * 3^3 * 5^1 * 17^1,0,"7,11,13,19,23,29,31,37,41",
16,4,"2,3,17,19",2^5 * 3^2 * 17^1 * 19^1,0,"5,7,11,13,23,29,31,37,41",
17,4,"2,3,5,17,19",2^3 * 3^2 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29,31,37,41",
18,4,"2,3,5,7,19",2^3 * 3^3 * 5^1 * 7^1 * 19^1,0,"11,13,17,23,29,31,37,41",
19,4,"2,3,5,7,11,19",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23,29,31,37,41",
20,4,"2,3,5,7,11,23",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 23^1,0,"13,17,19,29,31,37,41",
21,4,"2,3,7,11,23",2^4 * 3^2 * 7^1 * 11^1 * 23^1,0,"5,13,17,19,29,31,37,41",
22,4,"2,3,5,11,23",2^4 * 3^1 * 5^2 * 11^1 * 23^1,0,"7,13,17,19,29,31,37,41",
