m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,4,"2,3",2^3 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,47,53,59",
2,4,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53,59",
3,4,"2,3,5",2^3 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53,59",
4,4,"2,3,5,7",2^3 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53,59",
5,4,"2,3,5,7",2^4 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53,59",
6,4,"2,3,7",2^4 * 3^3 * 7^1,0,"5,11,13,17,19,23,29,31,37,41,43,47,53,59",
7,4,"2,3,5,7",2^4 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53,59",
8,4,"2,3,5,11",2^4 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47,53,59",
9,4,"2,3,5,11",2^3 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47,53,59",
10,4,"2,3,5,11,13",2^3 * 3^1 * 5^1 * 11^1 * 13^1,0,"7,17,19,23,29,31,37,41,43,47,53,59",
11,4,"2,3,7,11,13",2^3 * 3^1 * 7^1 * 11^1 * 13^1,0,"5,17,19,23,29,31,37,41,43,47,53,59",
12,4,"2,3,5,7,13",2^3 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43,47,53,59",
13,4,"2,3,5,7,13",2^5 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43,47,53,59",
14,4,"2,3,5,7,17",2^5 * 3^1 * 5^1 * 7^1 * 17^1,0,"11,13,19,23,29,31,37,41,43,47,53,59",
15,4,"2,3,5,17",2^5 * 3^3 * 5^1 * 17^1,0,"7,11,13,19,23,29,31,37,41,43,47,53,59",
16,4,"2,3,17,19",2^5 * 3^2 * 17^1 * 19^1,0,"5,7,11,13,23,29,31,37,41,43,47,53,59",
17,4,"2,3,5,17,19",2^3 * 3^2 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29,31,37,41,43,47,53,59",
18,4,"2,3,5,7,19",2^3 * 3^3 * 5^1 * 7^1 * 19^1,0,"11,13,17,23,29,31,37,41,43,47,53,59",
19,4,"2,3,5,7,11,19",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23,29,31,37,41,43,47,53,59",
20,4,"2,3,5,7,11,23",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 23^1,0,"13,17,19,29,31,37,41,43,47,53,59",
21,4,"2,3,7,11,23",2^4 * 3^2 * 7^1 * 11^1 * 23^1,0,"5,13,17,19,29,31,37,41,43,47,53,59",
22,4,"2,3,5,11,23",2^4 * 3^1 * 5^2 * 11^1 * 23^1,0,"7,13,17,19,29,31,37,41,43,47,53,59",
