m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,3,"2,3",2^1 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,47",
2,3,"2,3",2^3 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,47",
3,3,"2,3,5",2^2 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47",
4,3,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47",
5,3,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47",
6,3,"2,3,7",2^4 * 3^1 * 7^1,0,"5,11,13,17,19,23,29,31,37,41,43,47",
7,3,"2,3,7",2^3 * 3^2 * 7^1,0,"5,11,13,17,19,23,29,31,37,41,43,47",
8,3,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47",
9,3,"2,3,5,11",2^1 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47",
10,3,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47",
11,3,"2,3,11,13",2^2 * 3^1 * 11^1 * 13^1,0,"5,7,17,19,23,29,31,37,41,43,47",
12,3,"2,3,7,13",2^3 * 3^1 * 7^1 * 13^1,0,"5,11,17,19,23,29,31,37,41,43,47",
13,3,"2,3,5,7,13",2^1 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43,47",
14,3,"2,3,5,7",2^5 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47",
15,3,"2,3,5,17",2^4 * 3^1 * 5^1 * 17^1,0,"7,11,13,19,23,29,31,37,41,43,47",
16,3,"2,3,17",2^5 * 3^2 * 17^1,0,"5,7,11,13,19,23,29,31,37,41,43,47",
17,3,"2,3,17,19",2^1 * 3^2 * 17^1 * 19^1,0,"5,7,11,13,23,29,31,37,41,43,47",
18,3,"2,3,5,19",2^3 * 3^2 * 5^1 * 19^1,0,"7,11,13,17,23,29,31,37,41,43,47",
