m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,3,"2,3",2^1 * 3^1,0,"5,7,11,13,17,19,23",
2,3,"2,3",2^3 * 3^1,0,"5,7,11,13,17,19,23",
3,3,"2,3,5",2^2 * 3^1 * 5^1,0,"7,11,13,17,19,23",
4,3,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23",
5,3,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23",
6,3,"2,3,7",2^4 * 3^1 * 7^1,0,"5,11,13,17,19,23",
7,3,"2,3,7",2^3 * 3^2 * 7^1,0,"5,11,13,17,19,23",
8,3,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17,19,23",
9,3,"2,3,5,11",2^1 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23",
10,3,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^1,0,"7,13,17,19,23",
11,3,"2,3,11,13",2^2 * 3^1 * 11^1 * 13^1,0,"5,7,17,19,23",
12,3,"2,3,7,13",2^3 * 3^1 * 7^1 * 13^1,0,"5,11,17,19,23",
13,3,"2,3,5,7,13",2^1 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19,23",
14,3,"2,3,5,7",2^5 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23",
15,3,"2,3,5,17",2^4 * 3^1 * 5^1 * 17^1,0,"7,11,13,19,23",
16,3,"2,3,17",2^5 * 3^2 * 17^1,0,"5,7,11,13,19,23",
17,3,"2,3,17,19",2^1 * 3^2 * 17^1 * 19^1,0,"5,7,11,13,23",
18,3,"2,3,5,19",2^3 * 3^2 * 5^1 * 19^1,0,"7,11,13,17,23",
19,3,"2,3,5,7,19",2^2 * 3^1 * 5^1 * 7^1 * 19^1,0,"11,13,17,23",
20,3,"2,3,5,7,11",2^3 * 3^1 * 5^1 * 7^1 * 11^1,0,"13,17,19,23",
21,3,"2,3,7,11,23",2^1 * 3^1 * 7^1 * 11^1 * 23^1,0,"5,13,17,19",
22,3,"2,3,11,23",2^4 * 3^1 * 11^1 * 23^1,0,"5,7,13,17,19",
23,3,"2,3,5,23",2^3 * 3^1 * 5^2 * 23^1,0,"7,11,13,17,19",
24,3,"2,3,5,13",2^4 * 3^1 * 5^2 * 13^1,0,"7,11,17,19,23",
25,3,"2,3,5,13",2^1 * 3^3 * 5^2 * 13^1,0,"7,11,17,19,23",
26,3,"2,3,7,13",2^3 * 3^3 * 7^1 * 13^1,0,"5,11,17,19,23",
32,3,"2,3,11,17",2^6 * 3^1 * 11^1 * 17^1,0,"5,7,13,19,23",
33,3,"2,3,5,7,11,17",2^1 * 3^1 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19,23",
34,3,"2,3,5,7,17",2^3 * 3^2 * 5^1 * 7^1 * 17^1,0,"11,13,19,23",
38,3,"2,3,5,13,19",2^4 * 3^1 * 5^1 * 13^1 * 19^1,0,"7,11,17,23",
44,3,"2,3,5,11,23",2^3 * 3^2 * 5^1 * 11^1 * 23^1,0,"7,13,17,19",
48,3,"2,3,5,7",2^5 * 3^1 * 5^2 * 7^2,0,"11,13,17,19,23",
49,3,"2,3,5,7,17",2^1 * 3^1 * 5^2 * 7^2 * 17^1,0,"11,13,19,23",
50,3,"2,3,5,13,17",2^3 * 3^1 * 5^2 * 13^1 * 17^1,0,"7,11,19,23",
54,3,"2,3,5,7,11",2^4 * 3^3 * 5^1 * 7^1 * 11^1,0,"13,17,19,23",
55,3,"2,3,5,7,11,19",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23",
63,3,"2,3,5,7,13",2^6 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19,23",
64,3,"2,3,5,11,13",2^7 * 3^1 * 5^1 * 11^1 * 13^1,0,"7,17,19,23",
68,3,"2,3,5,7,17,23",2^3 * 3^1 * 5^1 * 7^1 * 17^1 * 23^1,0,"11,13,19",
75,3,"2,3,5,7,11,19",2^2 * 3^1 * 5^2 * 7^1 * 11^1 * 19^1,0,"13,17,23",
76,3,"2,3,7,11,13,19",2^3 * 3^1 * 7^1 * 11^1 * 13^1 * 19^1,0,"5,17,23",
90,3,"2,3,5,7,13,23",2^3 * 3^2 * 5^1 * 7^1 * 13^1 * 23^1,0,"11,17,19",
98,3,"2,3,5,7,11",2^3 * 3^2 * 5^2 * 7^2 * 11^1,0,"13,17,19,23",
119,3,"2,3,5,7,11,17",2^3 * 3^1 * 5^1 * 7^1 * 11^2 * 17^1,0,"13,19,23",
152,3,"2,3,7,11,17,19",2^4 * 3^2 * 7^1 * 11^1 * 17^1 * 19^1,0,"5,13,23",
160,3,"2,3,5,7,23",2^6 * 3^4 * 5^1 * 7^1 * 23^1,0,"11,13,17,19",
168,3,"2,3,5,7,13,17",2^4 * 3^1 * 5^1 * 7^1 * 13^2 * 17^1,0,"11,19,23",
169,3,"2,3,5,13,17,19",2^1 * 3^2 * 5^1 * 13^2 * 17^1 * 19^1,0,"7,11,23",
207,3,"2,3,11,13,19,23",2^4 * 3^2 * 11^1 * 13^1 * 19^1 * 23^1,0,"5,7,17",
208,3,"2,3,5,7,11,13,19",2^5 * 3^1 * 5^1 * 7^1 * 11^1 * 13^1 * 19^1,0,"17,23",
322,3,"2,3,7,17,19,23",2^3 * 3^4 * 7^1 * 17^1 * 19^1 * 23^1,0,"5,11,13",
