m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,2,2,2^1,0,"3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59",
2,2,"2,3",2^1 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,47,53,59",
3,2,"2,3",2^2 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,47,53,59",
4,2,"2,5",2^2 * 5^1,0,"3,7,11,13,17,19,23,29,31,37,41,43,47,53,59",
5,2,"2,3,5",2^1 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53,59",
6,2,"2,3,7",2^1 * 3^1 * 7^1,0,"5,11,13,17,19,23,29,31,37,41,43,47,53,59",
7,2,"2,7",2^3 * 7^1,0,"3,5,11,13,17,19,23,29,31,37,41,43,47,53,59",
8,2,"2,3",2^3 * 3^2,0,"5,7,11,13,17,19,23,29,31,37,41,43,47,53,59",
9,2,"2,3,5",2^1 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53,59",
10,2,"2,5,11",2^1 * 5^1 * 11^1,0,"3,7,13,17,19,23,29,31,37,41,43,47,53,59",
11,2,"2,3,11",2^2 * 3^1 * 11^1,0,"5,7,13,17,19,23,29,31,37,41,43,47,53,59",
12,2,"2,3,13",2^2 * 3^1 * 13^1,0,"5,7,11,17,19,23,29,31,37,41,43,47,53,59",
13,2,"2,7,13",2^1 * 7^1 * 13^1,0,"3,5,11,17,19,23,29,31,37,41,43,47,53,59",
14,2,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53,59",
15,2,"2,3,5",2^4 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53,59",
16,2,"2,17",2^4 * 17^1,0,"3,5,7,11,13,19,23,29,31,37,41,43,47,53,59",
17,2,"2,3,17",2^1 * 3^2 * 17^1,0,"5,7,11,13,19,23,29,31,37,41,43,47,53,59",
18,2,"2,3,19",2^1 * 3^2 * 19^1,0,"5,7,11,13,17,23,29,31,37,41,43,47,53,59",
19,2,"2,5,19",2^2 * 5^1 * 19^1,0,"3,7,11,13,17,23,29,31,37,41,43,47,53,59",
20,2,"2,3,5,7",2^2 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53,59",
21,2,"2,3,7,11",2^1 * 3^1 * 7^1 * 11^1,0,"5,13,17,19,23,29,31,37,41,43,47,53,59",
22,2,"2,11,23",2^1 * 11^1 * 23^1,0,"3,5,7,13,17,19,29,31,37,41,43,47,53,59",
23,2,"2,3,23",2^3 * 3^1 * 23^1,0,"5,7,11,13,17,19,29,31,37,41,43,47,53,59",
24,2,"2,3,5",2^3 * 3^1 * 5^2,0,"7,11,13,17,19,23,29,31,37,41,43,47,53,59",
25,2,"2,5,13",2^1 * 5^2 * 13^1,0,"3,7,11,17,19,23,29,31,37,41,43,47,53,59",
26,2,"2,3,13",2^1 * 3^3 * 13^1,0,"5,7,11,17,19,23,29,31,37,41,43,47,53,59",
27,2,"2,3,7",2^2 * 3^3 * 7^1,0,"5,11,13,17,19,23,29,31,37,41,43,47,53,59",
28,2,"2,7,29",2^2 * 7^1 * 29^1,0,"3,5,11,13,17,19,23,31,37,41,43,47,53,59",
29,2,"2,3,5,29",2^1 * 3^1 * 5^1 * 29^1,0,"7,11,13,17,19,23,31,37,41,43,47,53,59",
30,2,"2,3,5,31",2^1 * 3^1 * 5^1 * 31^1,0,"7,11,13,17,19,23,29,37,41,43,47,53,59",
31,2,"2,31",2^5 * 31^1,0,"3,5,7,11,13,17,19,23,29,37,41,43,47,53,59",
32,2,"2,3,11",2^5 * 3^1 * 11^1,0,"5,7,13,17,19,23,29,31,37,41,43,47,53,59",
33,2,"2,3,11,17",2^1 * 3^1 * 11^1 * 17^1,0,"5,7,13,19,23,29,31,37,41,43,47,53,59",
34,2,"2,5,7,17",2^1 * 5^1 * 7^1 * 17^1,0,"3,11,13,19,23,29,31,37,41,43,47,53,59",
35,2,"2,3,5,7",2^2 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53,59",
36,2,"2,3,37",2^2 * 3^2 * 37^1,0,"5,7,11,13,17,19,23,29,31,41,43,47,53,59",
37,2,"2,19,37",2^1 * 19^1 * 37^1,0,"3,5,7,11,13,17,23,29,31,41,43,47,53,59",
38,2,"2,3,13,19",2^1 * 3^1 * 13^1 * 19^1,0,"5,7,11,17,23,29,31,37,41,43,47,53,59",
39,2,"2,3,5,13",2^3 * 3^1 * 5^1 * 13^1,0,"7,11,17,19,23,29,31,37,41,43,47,53,59",
40,2,"2,5,41",2^3 * 5^1 * 41^1,0,"3,7,11,13,17,19,23,29,31,37,43,47,53,59",
41,2,"2,3,7,41",2^1 * 3^1 * 7^1 * 41^1,0,"5,11,13,17,19,23,29,31,37,43,47,53,59",
42,2,"2,3,7,43",2^1 * 3^1 * 7^1 * 43^1,0,"5,11,13,17,19,23,29,31,37,41,47,53,59",
43,2,"2,11,43",2^2 * 11^1 * 43^1,0,"3,5,7,13,17,19,23,29,31,37,41,47,53,59",
44,2,"2,3,5,11",2^2 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47,53,59",
45,2,"2,3,5,23",2^1 * 3^2 * 5^1 * 23^1,0,"7,11,13,17,19,29,31,37,41,43,47,53,59",
46,2,"2,23,47",2^1 * 23^1 * 47^1,0,"3,5,7,11,13,17,19,29,31,37,41,43,53,59",
47,2,"2,3,47",2^4 * 3^1 * 47^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,53,59",
48,2,"2,3,7",2^4 * 3^1 * 7^2,0,"5,11,13,17,19,23,29,31,37,41,43,47,53,59",
49,2,"2,5,7",2^1 * 5^2 * 7^2,0,"3,11,13,17,19,23,29,31,37,41,43,47,53,59",
50,2,"2,3,5,17",2^1 * 3^1 * 5^2 * 17^1,0,"7,11,13,19,23,29,31,37,41,43,47,53,59",
51,2,"2,3,13,17",2^2 * 3^1 * 13^1 * 17^1,0,"5,7,11,19,23,29,31,37,41,43,47,53,59",
52,2,"2,13,53",2^2 * 13^1 * 53^1,0,"3,5,7,11,17,19,23,29,31,37,41,43,47,59",
53,2,"2,3,53",2^1 * 3^3 * 53^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,47,59",
54,2,"2,3,5,11",2^1 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47,53,59",
55,2,"2,5,7,11",2^3 * 5^1 * 7^1 * 11^1,0,"3,13,17,19,23,29,31,37,41,43,47,53,59",
56,2,"2,3,7,19",2^3 * 3^1 * 7^1 * 19^1,0,"5,11,13,17,23,29,31,37,41,43,47,53,59",
57,2,"2,3,19,29",2^1 * 3^1 * 19^1 * 29^1,0,"5,7,11,13,17,23,31,37,41,43,47,53,59",
58,2,"2,29,59",2^1 * 29^1 * 59^1,0,"3,5,7,11,13,17,19,23,31,37,41,43,47,53",
59,2,"2,3,5,59",2^2 * 3^1 * 5^1 * 59^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53",
62,2,"2,3,7,31",2^1 * 3^2 * 7^1 * 31^1,0,"5,11,13,17,19,23,29,37,41,43,47,53,59",
63,2,"2,3,7",2^6 * 3^2 * 7^1,0,"5,11,13,17,19,23,29,31,37,41,43,47,53,59",
64,2,"2,5,13",2^6 * 5^1 * 13^1,0,"3,7,11,17,19,23,29,31,37,41,43,47,53,59",
65,2,"2,3,5,11,13",2^1 * 3^1 * 5^1 * 11^1 * 13^1,0,"7,17,19,23,29,31,37,41,43,47,53,59",
68,2,"2,3,17,23",2^2 * 3^1 * 17^1 * 23^1,0,"5,7,11,13,19,29,31,37,41,43,47,53,59",
69,2,"2,3,5,7,23",2^1 * 3^1 * 5^1 * 7^1 * 23^1,0,"11,13,17,19,29,31,37,41,43,47,53,59",
74,2,"2,3,5,37",2^1 * 3^1 * 5^2 * 37^1,0,"7,11,13,17,19,23,29,31,41,43,47,53,59",
75,2,"2,3,5,19",2^2 * 3^1 * 5^2 * 19^1,0,"7,11,13,17,23,29,31,37,41,43,47,53,59",
76,2,"2,7,11,19",2^2 * 7^1 * 11^1 * 19^1,0,"3,5,13,17,23,29,31,37,41,43,47,53,59",
77,2,"2,3,7,11,13",2^1 * 3^1 * 7^1 * 11^1 * 13^1,0,"5,17,19,23,29,31,37,41,43,47,53,59",
