m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,3,"2,3",2^1 * 3^1,0,"5,7,11,13",
2,3,"2,3",2^3 * 3^1,0,"5,7,11,13",
3,3,"2,3,5",2^2 * 3^1 * 5^1,0,"7,11,13",
4,3,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13",
5,3,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13",
6,3,"2,3,7",2^4 * 3^1 * 7^1,0,"5,11,13",
7,3,"2,3,7",2^3 * 3^2 * 7^1,0,"5,11,13",
8,3,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13",
9,3,"2,3,5,11",2^1 * 3^2 * 5^1 * 11^1,0,"7,13",
10,3,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^1,0,"7,13",
11,3,"2,3,11,13",2^2 * 3^1 * 11^1 * 13^1,0,"5,7",
12,3,"2,3,7,13",2^3 * 3^1 * 7^1 * 13^1,0,"5,11",
13,3,"2,3,5,7,13",2^1 * 3^1 * 5^1 * 7^1 * 13^1,0,11,
14,3,"2,3,5,7",2^5 * 3^1 * 5^1 * 7^1,0,"11,13",
20,3,"2,3,5,7,11",2^3 * 3^1 * 5^1 * 7^1 * 11^1,0,13,
24,3,"2,3,5,13",2^4 * 3^1 * 5^2 * 13^1,0,"7,11",
25,3,"2,3,5,13",2^1 * 3^3 * 5^2 * 13^1,0,"7,11",
26,3,"2,3,7,13",2^3 * 3^3 * 7^1 * 13^1,0,"5,11",
48,3,"2,3,5,7",2^5 * 3^1 * 5^2 * 7^2,0,"11,13",
54,3,"2,3,5,7,11",2^4 * 3^3 * 5^1 * 7^1 * 11^1,0,13,
63,3,"2,3,5,7,13",2^6 * 3^2 * 5^1 * 7^1 * 13^1,0,11,
64,3,"2,3,5,11,13",2^7 * 3^1 * 5^1 * 11^1 * 13^1,0,7,
98,3,"2,3,5,7,11",2^3 * 3^2 * 5^2 * 7^2 * 11^1,0,13,
350,3,"2,3,5,7,11,13",2^6 * 3^3 * 5^2 * 7^1 * 11^1 * 13^1,1,,
