m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,2,2,2^1,0,"3,5,7,11,13,17,19,23",
2,2,"2,3",2^1 * 3^1,0,"5,7,11,13,17,19,23",
3,2,"2,3",2^2 * 3^1,0,"5,7,11,13,17,19,23",
4,2,"2,5",2^2 * 5^1,0,"3,7,11,13,17,19,23",
5,2,"2,3,5",2^1 * 3^1 * 5^1,0,"7,11,13,17,19,23",
6,2,"2,3,7",2^1 * 3^1 * 7^1,0,"5,11,13,17,19,23",
7,2,"2,7",2^3 * 7^1,0,"3,5,11,13,17,19,23",
8,2,"2,3",2^3 * 3^2,0,"5,7,11,13,17,19,23",
9,2,"2,3,5",2^1 * 3^2 * 5^1,0,"7,11,13,17,19,23",
10,2,"2,5,11",2^1 * 5^1 * 11^1,0,"3,7,13,17,19,23",
11,2,"2,3,11",2^2 * 3^1 * 11^1,0,"5,7,13,17,19,23",
12,2,"2,3,13",2^2 * 3^1 * 13^1,0,"5,7,11,17,19,23",
13,2,"2,7,13",2^1 * 7^1 * 13^1,0,"3,5,11,17,19,23",
14,2,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23",
15,2,"2,3,5",2^4 * 3^1 * 5^1,0,"7,11,13,17,19,23",
16,2,"2,17",2^4 * 17^1,0,"3,5,7,11,13,19,23",
17,2,"2,3,17",2^1 * 3^2 * 17^1,0,"5,7,11,13,19,23",
18,2,"2,3,19",2^1 * 3^2 * 19^1,0,"5,7,11,13,17,23",
19,2,"2,5,19",2^2 * 5^1 * 19^1,0,"3,7,11,13,17,23",
20,2,"2,3,5,7",2^2 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23",
21,2,"2,3,7,11",2^1 * 3^1 * 7^1 * 11^1,0,"5,13,17,19,23",
22,2,"2,11,23",2^1 * 11^1 * 23^1,0,"3,5,7,13,17,19",
23,2,"2,3,23",2^3 * 3^1 * 23^1,0,"5,7,11,13,17,19",
24,2,"2,3,5",2^3 * 3^1 * 5^2,0,"7,11,13,17,19,23",
25,2,"2,5,13",2^1 * 5^2 * 13^1,0,"3,7,11,17,19,23",
26,2,"2,3,13",2^1 * 3^3 * 13^1,0,"5,7,11,17,19,23",
27,2,"2,3,7",2^2 * 3^3 * 7^1,0,"5,11,13,17,19,23",
32,2,"2,3,11",2^5 * 3^1 * 11^1,0,"5,7,13,17,19,23",
33,2,"2,3,11,17",2^1 * 3^1 * 11^1 * 17^1,0,"5,7,13,19,23",
34,2,"2,5,7,17",2^1 * 5^1 * 7^1 * 17^1,0,"3,11,13,19,23",
35,2,"2,3,5,7",2^2 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23",
38,2,"2,3,13,19",2^1 * 3^1 * 13^1 * 19^1,0,"5,7,11,17,23",
39,2,"2,3,5,13",2^3 * 3^1 * 5^1 * 13^1,0,"7,11,17,19,23",
44,2,"2,3,5,11",2^2 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23",
45,2,"2,3,5,23",2^1 * 3^2 * 5^1 * 23^1,0,"7,11,13,17,19",
48,2,"2,3,7",2^4 * 3^1 * 7^2,0,"5,11,13,17,19,23",
49,2,"2,5,7",2^1 * 5^2 * 7^2,0,"3,11,13,17,19,23",
50,2,"2,3,5,17",2^1 * 3^1 * 5^2 * 17^1,0,"7,11,13,19,23",
51,2,"2,3,13,17",2^2 * 3^1 * 13^1 * 17^1,0,"5,7,11,19,23",
54,2,"2,3,5,11",2^1 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23",
55,2,"2,5,7,11",2^3 * 5^1 * 7^1 * 11^1,0,"3,13,17,19,23",
56,2,"2,3,7,19",2^3 * 3^1 * 7^1 * 19^1,0,"5,11,13,17,23",
63,2,"2,3,7",2^6 * 3^2 * 7^1,0,"5,11,13,17,19,23",
64,2,"2,5,13",2^6 * 5^1 * 13^1,0,"3,7,11,17,19,23",
65,2,"2,3,5,11,13",2^1 * 3^1 * 5^1 * 11^1 * 13^1,0,"7,17,19,23",
68,2,"2,3,17,23",2^2 * 3^1 * 17^1 * 23^1,0,"5,7,11,13,19",
69,2,"2,3,5,7,23",2^1 * 3^1 * 5^1 * 7^1 * 23^1,0,"11,13,17,19",
75,2,"2,3,5,19",2^2 * 3^1 * 5^2 * 19^1,0,"7,11,13,17,23",
76,2,"2,7,11,19",2^2 * 7^1 * 11^1 * 19^1,0,"3,5,13,17,23",
77,2,"2,3,7,11,13",2^1 * 3^1 * 7^1 * 11^1 * 13^1,0,"5,17,19,23",
80,2,"2,3,5",2^4 * 3^4 * 5^1,0,"7,11,13,17,19,23",
84,2,"2,3,5,7,17",2^2 * 3^1 * 5^1 * 7^1 * 17^1,0,"11,13,19,23",
90,2,"2,3,5,7,13",2^1 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19,23",
91,2,"2,7,13,23",2^2 * 7^1 * 13^1 * 23^1,0,"3,5,11,17,19",
95,2,"2,3,5,19",2^5 * 3^1 * 5^1 * 19^1,0,"7,11,13,17,23",
98,2,"2,3,7,11",2^1 * 3^2 * 7^2 * 11^1,0,"5,13,17,19,23",
99,2,"2,3,5,11",2^2 * 3^2 * 5^2 * 11^1,0,"7,13,17,19,23",
104,2,"2,3,5,7,13",2^3 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19,23",
114,2,"2,3,5,19,23",2^1 * 3^1 * 5^1 * 19^1 * 23^1,0,"7,11,13,17",
119,2,"2,3,5,7,17",2^3 * 3^1 * 5^1 * 7^1 * 17^1,0,"11,13,19,23",
120,2,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^2,0,"7,13,17,19,23",
125,2,"2,3,5,7",2^1 * 3^2 * 5^3 * 7^1,0,"11,13,17,19,23",
132,2,"2,3,7,11,19",2^2 * 3^1 * 7^1 * 11^1 * 19^1,0,"5,13,17,23",
135,2,"2,3,5,17",2^3 * 3^3 * 5^1 * 17^1,0,"7,11,13,19,23",
143,2,"2,3,11,13",2^4 * 3^2 * 11^1 * 13^1,0,"5,7,17,19,23",
152,2,"2,3,17,19",2^3 * 3^2 * 17^1 * 19^1,0,"5,7,11,13,23",
153,2,"2,3,7,11,17",2^1 * 3^2 * 7^1 * 11^1 * 17^1,0,"5,13,19,23",
160,2,"2,5,7,23",2^5 * 5^1 * 7^1 * 23^1,0,"3,11,13,17,19",
161,2,"2,3,7,23",2^1 * 3^4 * 7^1 * 23^1,0,"5,11,13,17,19",
