m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,2,2,2^1,0,"3,5,7,11,13,17,19",
2,2,"2,3",2^1 * 3^1,0,"5,7,11,13,17,19",
3,2,"2,3",2^2 * 3^1,0,"5,7,11,13,17,19",
4,2,"2,5",2^2 * 5^1,0,"3,7,11,13,17,19",
5,2,"2,3,5",2^1 * 3^1 * 5^1,0,"7,11,13,17,19",
6,2,"2,3,7",2^1 * 3^1 * 7^1,0,"5,11,13,17,19",
7,2,"2,7",2^3 * 7^1,0,"3,5,11,13,17,19",
8,2,"2,3",2^3 * 3^2,0,"5,7,11,13,17,19",
9,2,"2,3,5",2^1 * 3^2 * 5^1,0,"7,11,13,17,19",
10,2,"2,5,11",2^1 * 5^1 * 11^1,0,"3,7,13,17,19",
11,2,"2,3,11",2^2 * 3^1 * 11^1,0,"5,7,13,17,19",
12,2,"2,3,13",2^2 * 3^1 * 13^1,0,"5,7,11,17,19",
13,2,"2,7,13",2^1 * 7^1 * 13^1,0,"3,5,11,17,19",
14,2,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17,19",
15,2,"2,3,5",2^4 * 3^1 * 5^1,0,"7,11,13,17,19",
16,2,"2,17",2^4 * 17^1,0,"3,5,7,11,13,19",
17,2,"2,3,17",2^1 * 3^2 * 17^1,0,"5,7,11,13,19",
18,2,"2,3,19",2^1 * 3^2 * 19^1,0,"5,7,11,13,17",
19,2,"2,5,19",2^2 * 5^1 * 19^1,0,"3,7,11,13,17",
20,2,"2,3,5,7",2^2 * 3^1 * 5^1 * 7^1,0,"11,13,17,19",
21,2,"2,3,7,11",2^1 * 3^1 * 7^1 * 11^1,0,"5,13,17,19",
24,2,"2,3,5",2^3 * 3^1 * 5^2,0,"7,11,13,17,19",
25,2,"2,5,13",2^1 * 5^2 * 13^1,0,"3,7,11,17,19",
26,2,"2,3,13",2^1 * 3^3 * 13^1,0,"5,7,11,17,19",
27,2,"2,3,7",2^2 * 3^3 * 7^1,0,"5,11,13,17,19",
32,2,"2,3,11",2^5 * 3^1 * 11^1,0,"5,7,13,17,19",
33,2,"2,3,11,17",2^1 * 3^1 * 11^1 * 17^1,0,"5,7,13,19",
34,2,"2,5,7,17",2^1 * 5^1 * 7^1 * 17^1,0,"3,11,13,19",
35,2,"2,3,5,7",2^2 * 3^2 * 5^1 * 7^1,0,"11,13,17,19",
38,2,"2,3,13,19",2^1 * 3^1 * 13^1 * 19^1,0,"5,7,11,17",
39,2,"2,3,5,13",2^3 * 3^1 * 5^1 * 13^1,0,"7,11,17,19",
44,2,"2,3,5,11",2^2 * 3^2 * 5^1 * 11^1,0,"7,13,17,19",
48,2,"2,3,7",2^4 * 3^1 * 7^2,0,"5,11,13,17,19",
49,2,"2,5,7",2^1 * 5^2 * 7^2,0,"3,11,13,17,19",
50,2,"2,3,5,17",2^1 * 3^1 * 5^2 * 17^1,0,"7,11,13,19",
51,2,"2,3,13,17",2^2 * 3^1 * 13^1 * 17^1,0,"5,7,11,19",
54,2,"2,3,5,11",2^1 * 3^3 * 5^1 * 11^1,0,"7,13,17,19",
55,2,"2,5,7,11",2^3 * 5^1 * 7^1 * 11^1,0,"3,13,17,19",
56,2,"2,3,7,19",2^3 * 3^1 * 7^1 * 19^1,0,"5,11,13,17",
63,2,"2,3,7",2^6 * 3^2 * 7^1,0,"5,11,13,17,19",
64,2,"2,5,13",2^6 * 5^1 * 13^1,0,"3,7,11,17,19",
65,2,"2,3,5,11,13",2^1 * 3^1 * 5^1 * 11^1 * 13^1,0,"7,17,19",
75,2,"2,3,5,19",2^2 * 3^1 * 5^2 * 19^1,0,"7,11,13,17",
76,2,"2,7,11,19",2^2 * 7^1 * 11^1 * 19^1,0,"3,5,13,17",
77,2,"2,3,7,11,13",2^1 * 3^1 * 7^1 * 11^1 * 13^1,0,"5,17,19",
80,2,"2,3,5",2^4 * 3^4 * 5^1,0,"7,11,13,17,19",
84,2,"2,3,5,7,17",2^2 * 3^1 * 5^1 * 7^1 * 17^1,0,"11,13,19",
90,2,"2,3,5,7,13",2^1 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19",
95,2,"2,3,5,19",2^5 * 3^1 * 5^1 * 19^1,0,"7,11,13,17",
98,2,"2,3,7,11",2^1 * 3^2 * 7^2 * 11^1,0,"5,13,17,19",
99,2,"2,3,5,11",2^2 * 3^2 * 5^2 * 11^1,0,"7,13,17,19",
104,2,"2,3,5,7,13",2^3 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19",
119,2,"2,3,5,7,17",2^3 * 3^1 * 5^1 * 7^1 * 17^1,0,"11,13,19",
120,2,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^2,0,"7,13,17,19",
125,2,"2,3,5,7",2^1 * 3^2 * 5^3 * 7^1,0,"11,13,17,19",
132,2,"2,3,7,11,19",2^2 * 3^1 * 7^1 * 11^1 * 19^1,0,"5,13,17",
135,2,"2,3,5,17",2^3 * 3^3 * 5^1 * 17^1,0,"7,11,13,19",
143,2,"2,3,11,13",2^4 * 3^2 * 11^1 * 13^1,0,"5,7,17,19",
152,2,"2,3,17,19",2^3 * 3^2 * 17^1 * 19^1,0,"5,7,11,13",
153,2,"2,3,7,11,17",2^1 * 3^2 * 7^1 * 11^1 * 17^1,0,"5,13,19",
