m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,5,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13",
2,5,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13",
3,5,"2,3,5,7",2^3 * 3^2 * 5^1 * 7^1,0,"11,13",
4,5,"2,3,5,7",2^6 * 3^1 * 5^1 * 7^1,0,"11,13",
5,5,"2,3,5,7",2^4 * 3^3 * 5^1 * 7^1,0,"11,13",
6,5,"2,3,5,7",2^5 * 3^3 * 5^1 * 7^1,0,"11,13",
7,5,"2,3,5,7,11",2^4 * 3^2 * 5^1 * 7^1 * 11^1,0,13,
8,5,"2,3,5,11",2^6 * 3^3 * 5^1 * 11^1,0,"7,13",
9,5,"2,3,5,11,13",2^3 * 3^3 * 5^1 * 11^1 * 13^1,0,7,
10,5,"2,3,5,7,11,13",2^4 * 3^1 * 5^1 * 7^1 * 11^1 * 13^1,1,,
11,5,"2,3,5,7,11,13",2^3 * 3^2 * 5^1 * 7^1 * 11^1 * 13^1,1,,
12,5,"2,3,5,7,13",2^7 * 3^2 * 5^1 * 7^1 * 13^1,0,11,
24,5,"2,3,5,7,13",2^6 * 3^4 * 5^2 * 7^1 * 13^1,0,11,
