m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,3,"2,3",2^1 * 3^1,0,"5,7,11,13,17,19",
2,3,"2,3",2^3 * 3^1,0,"5,7,11,13,17,19",
3,3,"2,3,5",2^2 * 3^1 * 5^1,0,"7,11,13,17,19",
4,3,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19",
5,3,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17,19",
6,3,"2,3,7",2^4 * 3^1 * 7^1,0,"5,11,13,17,19",
7,3,"2,3,7",2^3 * 3^2 * 7^1,0,"5,11,13,17,19",
8,3,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17,19",
9,3,"2,3,5,11",2^1 * 3^2 * 5^1 * 11^1,0,"7,13,17,19",
10,3,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^1,0,"7,13,17,19",
11,3,"2,3,11,13",2^2 * 3^1 * 11^1 * 13^1,0,"5,7,17,19",
12,3,"2,3,7,13",2^3 * 3^1 * 7^1 * 13^1,0,"5,11,17,19",
13,3,"2,3,5,7,13",2^1 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19",
14,3,"2,3,5,7",2^5 * 3^1 * 5^1 * 7^1,0,"11,13,17,19",
15,3,"2,3,5,17",2^4 * 3^1 * 5^1 * 17^1,0,"7,11,13,19",
16,3,"2,3,17",2^5 * 3^2 * 17^1,0,"5,7,11,13,19",
17,3,"2,3,17,19",2^1 * 3^2 * 17^1 * 19^1,0,"5,7,11,13",
18,3,"2,3,5,19",2^3 * 3^2 * 5^1 * 19^1,0,"7,11,13,17",
19,3,"2,3,5,7,19",2^2 * 3^1 * 5^1 * 7^1 * 19^1,0,"11,13,17",
20,3,"2,3,5,7,11",2^3 * 3^1 * 5^1 * 7^1 * 11^1,0,"13,17,19",
24,3,"2,3,5,13",2^4 * 3^1 * 5^2 * 13^1,0,"7,11,17,19",
25,3,"2,3,5,13",2^1 * 3^3 * 5^2 * 13^1,0,"7,11,17,19",
26,3,"2,3,7,13",2^3 * 3^3 * 7^1 * 13^1,0,"5,11,17,19",
32,3,"2,3,11,17",2^6 * 3^1 * 11^1 * 17^1,0,"5,7,13,19",
33,3,"2,3,5,7,11,17",2^1 * 3^1 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19",
34,3,"2,3,5,7,17",2^3 * 3^2 * 5^1 * 7^1 * 17^1,0,"11,13,19",
38,3,"2,3,5,13,19",2^4 * 3^1 * 5^1 * 13^1 * 19^1,0,"7,11,17",
48,3,"2,3,5,7",2^5 * 3^1 * 5^2 * 7^2,0,"11,13,17,19",
49,3,"2,3,5,7,17",2^1 * 3^1 * 5^2 * 7^2 * 17^1,0,"11,13,19",
50,3,"2,3,5,13,17",2^3 * 3^1 * 5^2 * 13^1 * 17^1,0,"7,11,19",
54,3,"2,3,5,7,11",2^4 * 3^3 * 5^1 * 7^1 * 11^1,0,"13,17,19",
55,3,"2,3,5,7,11,19",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17",
63,3,"2,3,5,7,13",2^6 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19",
64,3,"2,3,5,11,13",2^7 * 3^1 * 5^1 * 11^1 * 13^1,0,"7,17,19",
75,3,"2,3,5,7,11,19",2^2 * 3^1 * 5^2 * 7^1 * 11^1 * 19^1,0,"13,17",
76,3,"2,3,7,11,13,19",2^3 * 3^1 * 7^1 * 11^1 * 13^1 * 19^1,0,"5,17",
98,3,"2,3,5,7,11",2^3 * 3^2 * 5^2 * 7^2 * 11^1,0,"13,17,19",
119,3,"2,3,5,7,11,17",2^3 * 3^1 * 5^1 * 7^1 * 11^2 * 17^1,0,"13,19",
152,3,"2,3,7,11,17,19",2^4 * 3^2 * 7^1 * 11^1 * 17^1 * 19^1,0,"5,13",
168,3,"2,3,5,7,13,17",2^4 * 3^1 * 5^1 * 7^1 * 13^2 * 17^1,0,"11,19",
169,3,"2,3,5,13,17,19",2^1 * 3^2 * 5^1 * 13^2 * 17^1 * 19^1,0,"7,11",
208,3,"2,3,5,7,11,13,19",2^5 * 3^1 * 5^1 * 7^1 * 11^1 * 13^1 * 19^1,0,17,
323,3,"2,3,5,13,17,19",2^2 * 3^4 * 5^2 * 13^1 * 17^1 * 19^1,0,"7,11",
350,3,"2,3,5,7,11,13",2^6 * 3^3 * 5^2 * 7^1 * 11^1 * 13^1,0,"17,19",
440,3,"2,3,5,7,11,13,17",2^4 * 3^2 * 5^1 * 7^2 * 11^1 * 13^1 * 17^1,0,19,
2430,3,"2,3,5,11,13,17,19",2^8 * 3^5 * 5^1 * 11^1 * 13^1 * 17^1 * 19^1,0,7,
