m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,3,"2,3",2^1 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,47,53,59",
2,3,"2,3",2^3 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,47,53,59",
3,3,"2,3,5",2^2 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53,59",
4,3,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53,59",
5,3,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53,59",
6,3,"2,3,7",2^4 * 3^1 * 7^1,0,"5,11,13,17,19,23,29,31,37,41,43,47,53,59",
7,3,"2,3,7",2^3 * 3^2 * 7^1,0,"5,11,13,17,19,23,29,31,37,41,43,47,53,59",
8,3,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53,59",
9,3,"2,3,5,11",2^1 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47,53,59",
10,3,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47,53,59",
11,3,"2,3,11,13",2^2 * 3^1 * 11^1 * 13^1,0,"5,7,17,19,23,29,31,37,41,43,47,53,59",
12,3,"2,3,7,13",2^3 * 3^1 * 7^1 * 13^1,0,"5,11,17,19,23,29,31,37,41,43,47,53,59",
13,3,"2,3,5,7,13",2^1 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43,47,53,59",
14,3,"2,3,5,7",2^5 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53,59",
15,3,"2,3,5,17",2^4 * 3^1 * 5^1 * 17^1,0,"7,11,13,19,23,29,31,37,41,43,47,53,59",
16,3,"2,3,17",2^5 * 3^2 * 17^1,0,"5,7,11,13,19,23,29,31,37,41,43,47,53,59",
17,3,"2,3,17,19",2^1 * 3^2 * 17^1 * 19^1,0,"5,7,11,13,23,29,31,37,41,43,47,53,59",
18,3,"2,3,5,19",2^3 * 3^2 * 5^1 * 19^1,0,"7,11,13,17,23,29,31,37,41,43,47,53,59",
19,3,"2,3,5,7,19",2^2 * 3^1 * 5^1 * 7^1 * 19^1,0,"11,13,17,23,29,31,37,41,43,47,53,59",
20,3,"2,3,5,7,11",2^3 * 3^1 * 5^1 * 7^1 * 11^1,0,"13,17,19,23,29,31,37,41,43,47,53,59",
21,3,"2,3,7,11,23",2^1 * 3^1 * 7^1 * 11^1 * 23^1,0,"5,13,17,19,29,31,37,41,43,47,53,59",
22,3,"2,3,11,23",2^4 * 3^1 * 11^1 * 23^1,0,"5,7,13,17,19,29,31,37,41,43,47,53,59",
23,3,"2,3,5,23",2^3 * 3^1 * 5^2 * 23^1,0,"7,11,13,17,19,29,31,37,41,43,47,53,59",
24,3,"2,3,5,13",2^4 * 3^1 * 5^2 * 13^1,0,"7,11,17,19,23,29,31,37,41,43,47,53,59",
25,3,"2,3,5,13",2^1 * 3^3 * 5^2 * 13^1,0,"7,11,17,19,23,29,31,37,41,43,47,53,59",
26,3,"2,3,7,13",2^3 * 3^3 * 7^1 * 13^1,0,"5,11,17,19,23,29,31,37,41,43,47,53,59",
27,3,"2,3,7,29",2^2 * 3^3 * 7^1 * 29^1,0,"5,11,13,17,19,23,31,37,41,43,47,53,59",
28,3,"2,3,5,7,29",2^3 * 3^1 * 5^1 * 7^1 * 29^1,0,"11,13,17,19,23,31,37,41,43,47,53,59",
29,3,"2,3,5,29,31",2^1 * 3^1 * 5^1 * 29^1 * 31^1,0,"7,11,13,17,19,23,37,41,43,47,53,59",
30,3,"2,3,5,31",2^6 * 3^1 * 5^1 * 31^1,0,"7,11,13,17,19,23,29,37,41,43,47,53,59",
31,3,"2,3,11,31",2^5 * 3^1 * 11^1 * 31^1,0,"5,7,13,17,19,23,29,37,41,43,47,53,59",
32,3,"2,3,11,17",2^6 * 3^1 * 11^1 * 17^1,0,"5,7,13,19,23,29,31,37,41,43,47,53,59",
33,3,"2,3,5,7,11,17",2^1 * 3^1 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19,23,29,31,37,41,43,47,53,59",
34,3,"2,3,5,7,17",2^3 * 3^2 * 5^1 * 7^1 * 17^1,0,"11,13,19,23,29,31,37,41,43,47,53,59",
35,3,"2,3,5,7,37",2^2 * 3^2 * 5^1 * 7^1 * 37^1,0,"11,13,17,19,23,29,31,41,43,47,53,59",
36,3,"2,3,19,37",2^3 * 3^2 * 19^1 * 37^1,0,"5,7,11,13,17,23,29,31,41,43,47,53,59",
37,3,"2,3,13,19,37",2^1 * 3^1 * 13^1 * 19^1 * 37^1,0,"5,7,11,17,23,29,31,41,43,47,53,59",
38,3,"2,3,5,13,19",2^4 * 3^1 * 5^1 * 13^1 * 19^1,0,"7,11,17,23,29,31,37,41,43,47,53,59",
39,3,"2,3,5,13,41",2^3 * 3^1 * 5^1 * 13^1 * 41^1,0,"7,11,17,19,23,29,31,37,43,47,53,59",
40,3,"2,3,5,7,41",2^4 * 3^1 * 5^1 * 7^1 * 41^1,0,"11,13,17,19,23,29,31,37,43,47,53,59",
41,3,"2,3,7,41,43",2^1 * 3^1 * 7^1 * 41^1 * 43^1,0,"5,11,13,17,19,23,29,31,37,47,53,59",
42,3,"2,3,7,11,43",2^3 * 3^1 * 7^1 * 11^1 * 43^1,0,"5,13,17,19,23,29,31,37,41,47,53,59",
43,3,"2,3,5,11,43",2^2 * 3^2 * 5^1 * 11^1 * 43^1,0,"7,13,17,19,23,29,31,37,41,47,53,59",
44,3,"2,3,5,11,23",2^3 * 3^2 * 5^1 * 11^1 * 23^1,0,"7,13,17,19,29,31,37,41,43,47,53,59",
45,3,"2,3,5,23,47",2^1 * 3^2 * 5^1 * 23^1 * 47^1,0,"7,11,13,17,19,29,31,37,41,43,53,59",
46,3,"2,3,23,47",2^5 * 3^1 * 23^1 * 47^1,0,"5,7,11,13,17,19,29,31,37,41,43,53,59",
47,3,"2,3,7,47",2^4 * 3^1 * 7^2 * 47^1,0,"5,11,13,17,19,23,29,31,37,41,43,53,59",
48,3,"2,3,5,7",2^5 * 3^1 * 5^2 * 7^2,0,"11,13,17,19,23,29,31,37,41,43,47,53,59",
49,3,"2,3,5,7,17",2^1 * 3^1 * 5^2 * 7^2 * 17^1,0,"11,13,19,23,29,31,37,41,43,47,53,59",
50,3,"2,3,5,13,17",2^3 * 3^1 * 5^2 * 13^1 * 17^1,0,"7,11,19,23,29,31,37,41,43,47,53,59",
51,3,"2,3,13,17,53",2^2 * 3^1 * 13^1 * 17^1 * 53^1,0,"5,7,11,19,23,29,31,37,41,43,47,59",
52,3,"2,3,13,53",2^3 * 3^3 * 13^1 * 53^1,0,"5,7,11,17,19,23,29,31,37,41,43,47,59",
53,3,"2,3,5,11,53",2^1 * 3^3 * 5^1 * 11^1 * 53^1,0,"7,13,17,19,23,29,31,37,41,43,47,59",
54,3,"2,3,5,7,11",2^4 * 3^3 * 5^1 * 7^1 * 11^1,0,"13,17,19,23,29,31,37,41,43,47,53,59",
55,3,"2,3,5,7,11,19",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23,29,31,37,41,43,47,53,59",
56,3,"2,3,7,19,29",2^4 * 3^1 * 7^1 * 19^1 * 29^1,0,"5,11,13,17,23,31,37,41,43,47,53,59",
57,3,"2,3,19,29,59",2^1 * 3^1 * 19^1 * 29^1 * 59^1,0,"5,7,11,13,17,23,31,37,41,43,47,53",
