m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,4,"2,3",2^3 * 3^1,0,"5,7,11,13",
2,4,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13",
3,4,"2,3,5",2^3 * 3^2 * 5^1,0,"7,11,13",
4,4,"2,3,5,7",2^3 * 3^1 * 5^1 * 7^1,0,"11,13",
5,4,"2,3,5,7",2^4 * 3^1 * 5^1 * 7^1,0,"11,13",
6,4,"2,3,7",2^4 * 3^3 * 7^1,0,"5,11,13",
7,4,"2,3,5,7",2^4 * 3^2 * 5^1 * 7^1,0,"11,13",
8,4,"2,3,5,11",2^4 * 3^2 * 5^1 * 11^1,0,"7,13",
9,4,"2,3,5,11",2^3 * 3^3 * 5^1 * 11^1,0,"7,13",
10,4,"2,3,5,11,13",2^3 * 3^1 * 5^1 * 11^1 * 13^1,0,7,
11,4,"2,3,7,11,13",2^3 * 3^1 * 7^1 * 11^1 * 13^1,0,5,
12,4,"2,3,5,7,13",2^3 * 3^2 * 5^1 * 7^1 * 13^1,0,11,
13,4,"2,3,5,7,13",2^5 * 3^1 * 5^1 * 7^1 * 13^1,0,11,
24,4,"2,3,5,13",2^4 * 3^4 * 5^2 * 13^1,0,"7,11",
25,4,"2,3,5,7,13",2^3 * 3^3 * 5^2 * 7^1 * 13^1,0,11,
63,4,"2,3,5,7,11,13",2^7 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1,1,,
