m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,5,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41",
2,5,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41",
3,5,"2,3,5,7",2^3 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41",
4,5,"2,3,5,7",2^6 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41",
5,5,"2,3,5,7",2^4 * 3^3 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41",
6,5,"2,3,5,7",2^5 * 3^3 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41",
7,5,"2,3,5,7,11",2^4 * 3^2 * 5^1 * 7^1 * 11^1,0,"13,17,19,23,29,31,37,41",
8,5,"2,3,5,11",2^6 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41",
9,5,"2,3,5,11,13",2^3 * 3^3 * 5^1 * 11^1 * 13^1,0,"7,17,19,23,29,31,37,41",
10,5,"2,3,5,7,11,13",2^4 * 3^1 * 5^1 * 7^1 * 11^1 * 13^1,0,"17,19,23,29,31,37,41",
11,5,"2,3,5,7,11,13",2^3 * 3^2 * 5^1 * 7^1 * 11^1 * 13^1,0,"17,19,23,29,31,37,41",
12,5,"2,3,5,7,13",2^7 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41",
13,5,"2,3,5,7,13,17",2^5 * 3^1 * 5^1 * 7^1 * 13^1 * 17^1,0,"11,19,23,29,31,37,41",
14,5,"2,3,5,7,17",2^6 * 3^3 * 5^1 * 7^1 * 17^1,0,"11,13,19,23,29,31,37,41",
15,5,"2,3,5,17,19",2^5 * 3^3 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29,31,37,41",
16,5,"2,3,5,17,19",2^7 * 3^2 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29,31,37,41",
17,5,"2,3,5,7,17,19",2^3 * 3^3 * 5^1 * 7^1 * 17^1 * 19^1,0,"11,13,23,29,31,37,41",
18,5,"2,3,5,7,11,19",2^4 * 3^3 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23,29,31,37,41",
19,5,"2,3,5,7,11,19,23",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1 * 23^1,0,"13,17,29,31,37,41",
20,5,"2,3,5,7,11,23",2^6 * 3^2 * 5^1 * 7^1 * 11^1 * 23^1,0,"13,17,19,29,31,37,41",
21,5,"2,3,5,7,11,23",2^4 * 3^2 * 5^2 * 7^1 * 11^1 * 23^1,0,"13,17,19,29,31,37,41",
22,5,"2,3,5,11,13,23",2^5 * 3^1 * 5^2 * 11^1 * 13^1 * 23^1,0,"7,17,19,29,31,37,41",
23,5,"2,3,5,13,23",2^4 * 3^4 * 5^2 * 13^1 * 23^1,0,"7,11,17,19,29,31,37,41",
24,5,"2,3,5,7,13",2^6 * 3^4 * 5^2 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41",
25,5,"2,3,5,7,13,29",2^3 * 3^3 * 5^2 * 7^1 * 13^1 * 29^1,0,"11,17,19,23,31,37,41",
26,5,"2,3,5,7,13,29",2^4 * 3^4 * 5^1 * 7^1 * 13^1 * 29^1,0,"11,17,19,23,31,37,41",
27,5,"2,3,5,7,29,31",2^3 * 3^4 * 5^1 * 7^1 * 29^1 * 31^1,0,"11,13,17,19,23,37,41",
28,5,"2,3,5,7,29,31",2^8 * 3^1 * 5^1 * 7^1 * 29^1 * 31^1,0,"11,13,17,19,23,37,41",
29,5,"2,3,5,11,29,31",2^6 * 3^2 * 5^1 * 11^1 * 29^1 * 31^1,0,"7,13,17,19,23,37,41",
30,5,"2,3,5,11,17,31",2^7 * 3^2 * 5^1 * 11^1 * 17^1 * 31^1,0,"7,13,19,23,29,37,41",
31,5,"2,3,5,7,11,17,31",2^6 * 3^1 * 5^1 * 7^1 * 11^1 * 17^1 * 31^1,0,"13,19,23,29,37,41",
32,5,"2,3,5,7,11,17",2^8 * 3^3 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19,23,29,31,37,41",
33,5,"2,3,5,7,11,17,37",2^3 * 3^3 * 5^1 * 7^1 * 11^1 * 17^1 * 37^1,0,"13,19,23,29,31,41",
34,5,"2,3,5,7,17,19,37",2^4 * 3^2 * 5^1 * 7^1 * 17^1 * 19^1 * 37^1,0,"11,13,23,29,31,41",
35,5,"2,3,5,7,13,19,37",2^3 * 3^3 * 5^1 * 7^1 * 13^1 * 19^1 * 37^1,0,"11,17,23,29,31,41",
36,5,"2,3,5,13,19,37",2^6 * 3^3 * 5^1 * 13^1 * 19^1 * 37^1,0,"7,11,17,23,29,31,41",
37,5,"2,3,5,13,19,37,41",2^4 * 3^1 * 5^1 * 13^1 * 19^1 * 37^1 * 41^1,0,"7,11,17,23,29,31",
38,5,"2,3,5,7,13,19,41",2^5 * 3^2 * 5^1 * 7^1 * 13^1 * 19^1 * 41^1,0,"11,17,23,29,31,37",
48,5,"2,3,5,7,13,17",2^7 * 3^2 * 5^2 * 7^2 * 13^1 * 17^1,0,"11,19,23,29,31,37,41",
54,5,"2,3,5,7,11,19,29",2^5 * 3^4 * 5^1 * 7^1 * 11^1 * 19^1 * 29^1,0,"13,17,23,31,37,41",
62,5,"2,3,5,7,11,13,31",2^8 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1 * 31^1,0,"17,19,23,29,37,41",
74,5,"2,3,5,7,11,13,19,37",2^4 * 3^2 * 5^2 * 7^1 * 11^1 * 13^1 * 19^1 * 37^1,0,"17,23,29,31,41",
152,5,"2,3,5,7,11,13,17,19,31",2^6 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1 * 17^1 * 19^1 * 31^1,0,"23,29,37,41",
285,5,"2,3,5,7,11,13,17,19,41",2^6 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1 * 17^2 * 19^1 * 41^1,0,"23,29,31,37",
286,5,"2,3,5,7,11,13,17,29,41",2^7 * 3^2 * 5^1 * 7^1 * 11^1 * 13^1 * 17^2 * 29^1 * 41^1,0,"19,23,31,37",
492,5,"2,3,5,11,13,17,19,29,31,41",2^7 * 3^3 * 5^1 * 11^1 * 13^1 * 17^1 * 19^1 * 29^1 * 31^1 * 41^1,0,"7,23,37",
1517,5,"2,3,5,7,11,13,19,23,31,37,41",2^5 * 3^3 * 5^1 * 7^2 * 11^1 * 13^2 * 19^1 * 23^1 * 31^1 * 37^1 * 41^1,0,"17,29",
