m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
152,3,"2,3,7,11,17,19",2^4 * 3^2 * 7^1 * 11^1 * 17^1 * 19^1,0,"5,13,23,29,31",
153,3,"2,3,5,7,11,17,31",2^1 * 3^2 * 5^1 * 7^1 * 11^1 * 17^1 * 31^1,0,"13,19,23,29",
154,3,"2,3,5,7,11,13,31",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 13^1 * 31^1,0,"17,19,23,29",
160,3,"2,3,5,7,23",2^6 * 3^4 * 5^1 * 7^1 * 23^1,0,"11,13,17,19,29,31",
168,3,"2,3,5,7,13,17",2^4 * 3^1 * 5^1 * 7^1 * 13^2 * 17^1,0,"11,19,23,29,31",
169,3,"2,3,5,13,17,19",2^1 * 3^2 * 5^1 * 13^2 * 17^1 * 19^1,0,"7,11,23,29,31",
174,3,"2,3,5,7,11,29",2^5 * 3^1 * 5^2 * 7^1 * 11^1 * 29^1,0,"13,17,19,23,31",
207,3,"2,3,11,13,19,23",2^4 * 3^2 * 11^1 * 13^1 * 19^1 * 23^1,0,"5,7,17,29,31",
208,3,"2,3,5,7,11,13,19",2^5 * 3^1 * 5^1 * 7^1 * 11^1 * 13^1 * 19^1,0,"17,23,29,31",
230,3,"2,3,5,7,11,23,29",2^4 * 3^1 * 5^1 * 7^1 * 11^1 * 23^1 * 29^1,0,"13,17,19,31",
288,3,"2,3,5,17,29",2^6 * 3^2 * 5^1 * 17^2 * 29^1,0,"7,11,13,19,23,31",
322,3,"2,3,7,17,19,23",2^3 * 3^4 * 7^1 * 17^1 * 19^1 * 23^1,0,"5,11,13,29,31",
323,3,"2,3,5,13,17,19",2^2 * 3^4 * 5^2 * 13^1 * 17^1 * 19^1,0,"7,11,23,29,31",
340,3,"2,3,5,11,17,19,31",2^3 * 3^2 * 5^1 * 11^1 * 17^1 * 19^1 * 31^1,0,"7,13,23,29",
341,3,"2,3,7,11,19,31",2^1 * 3^2 * 7^3 * 11^1 * 19^1 * 31^1,0,"5,13,17,23,29",
350,3,"2,3,5,7,11,13",2^6 * 3^3 * 5^2 * 7^1 * 11^1 * 13^1,0,"17,19,23,29,31",
390,3,"2,3,5,7,13,17,23",2^4 * 3^1 * 5^1 * 7^2 * 13^1 * 17^1 * 23^1,0,"11,19,29,31",
440,3,"2,3,5,7,11,13,17",2^4 * 3^2 * 5^1 * 7^2 * 11^1 * 13^1 * 17^1,0,"19,23,29,31",
493,3,"2,3,5,11,13,17,19,29",2^1 * 3^2 * 5^1 * 11^1 * 13^1 * 17^1 * 19^1 * 29^1,0,"7,23,31",
494,3,"2,3,5,11,13,19,31",2^5 * 3^2 * 5^1 * 11^1 * 13^1 * 19^1 * 31^1,0,"7,17,23,29",
527,3,"2,3,11,17,23,31",2^4 * 3^1 * 11^1 * 17^1 * 23^2 * 31^1,0,"5,7,13,19,29",
550,3,"2,3,5,11,19,23,29",2^4 * 3^1 * 5^2 * 11^1 * 19^1 * 23^1 * 29^1,0,"7,13,17,31",
713,3,"2,3,5,7,11,13,17,23,31",2^1 * 3^1 * 5^1 * 7^1 * 11^1 * 13^1 * 17^1 * 23^1 * 31^1,0,"19,29",
782,3,"2,3,7,17,23,29",2^5 * 3^3 * 7^2 * 17^1 * 23^1 * 29^1,0,"5,11,13,19,31",
1274,3,"2,3,5,7,11,13,17,29",2^3 * 3^1 * 5^2 * 7^2 * 11^1 * 13^1 * 17^1 * 29^1,0,"19,23,31",
1518,3,"2,3,5,7,11,19,23,31",2^5 * 3^1 * 5^1 * 7^2 * 11^1 * 19^1 * 23^1 * 31^1,0,"13,17,29",
1519,3,"2,3,5,7,13,19,31",2^4 * 3^2 * 5^1 * 7^2 * 13^2 * 19^1 * 31^1,0,"11,17,23,29",
2000,3,"2,3,5,7,11,13,23,29",2^5 * 3^1 * 5^3 * 7^1 * 11^1 * 13^1 * 23^1 * 29^1,0,"17,19,31",
2023,3,"2,3,5,7,11,17,23",2^3 * 3^4 * 5^2 * 7^1 * 11^1 * 17^2 * 23^1,0,"13,19,29,31",
2430,3,"2,3,5,11,13,17,19",2^8 * 3^5 * 5^1 * 11^1 * 13^1 * 17^1 * 19^1,0,"7,23,29,31",
3248,3,"2,3,5,7,13,19,29",2^5 * 3^2 * 5^3 * 7^1 * 13^1 * 19^2 * 29^1,0,"11,17,23,31",
9800,3,"2,3,5,7,11,13,29",2^4 * 3^4 * 5^2 * 7^2 * 11^2 * 13^2 * 29^1,0,"17,19,23,31",
13310,3,"2,3,5,11,13,17,29",2^11 * 3^3 * 5^1 * 11^3 * 13^1 * 17^1 * 29^1,0,"7,19,23,31",
13454,3,"2,3,5,7,13,23,29,31",2^5 * 3^2 * 5^1 * 7^1 * 13^1 * 23^1 * 29^2 * 31^2,0,"11,17,19",
