m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,2,2,2^1,0,"3,5,7",
2,2,"2,3",2^1 * 3^1,0,"5,7",
3,2,"2,3",2^2 * 3^1,0,"5,7",
4,2,"2,5",2^2 * 5^1,0,"3,7",
5,2,"2,3,5",2^1 * 3^1 * 5^1,0,7,
6,2,"2,3,7",2^1 * 3^1 * 7^1,0,5,
7,2,"2,7",2^3 * 7^1,0,"3,5",
8,2,"2,3",2^3 * 3^2,0,"5,7",
9,2,"2,3,5",2^1 * 3^2 * 5^1,0,7,
14,2,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,1,,
15,2,"2,3,5",2^4 * 3^1 * 5^1,0,7,
20,2,"2,3,5,7",2^2 * 3^1 * 5^1 * 7^1,1,,
24,2,"2,3,5",2^3 * 3^1 * 5^2,0,7,
27,2,"2,3,7",2^2 * 3^3 * 7^1,0,5,
35,2,"2,3,5,7",2^2 * 3^2 * 5^1 * 7^1,1,,
48,2,"2,3,7",2^4 * 3^1 * 7^2,0,5,
49,2,"2,5,7",2^1 * 5^2 * 7^2,0,3,
63,2,"2,3,7",2^6 * 3^2 * 7^1,0,5,
80,2,"2,3,5",2^4 * 3^4 * 5^1,0,7,
125,2,"2,3,5,7",2^1 * 3^2 * 5^3 * 7^1,1,,
224,2,"2,3,5,7",2^5 * 3^2 * 5^2 * 7^1,1,,
2400,2,"2,3,5,7",2^5 * 3^1 * 5^2 * 7^4,1,,
4374,2,"2,3,5,7",2^1 * 3^7 * 5^4 * 7^1,1,,
