m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,4,"2,3",2^3 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,47,53",
2,4,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53",
3,4,"2,3,5",2^3 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47,53",
4,4,"2,3,5,7",2^3 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53",
5,4,"2,3,5,7",2^4 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53",
6,4,"2,3,7",2^4 * 3^3 * 7^1,0,"5,11,13,17,19,23,29,31,37,41,43,47,53",
7,4,"2,3,5,7",2^4 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47,53",
8,4,"2,3,5,11",2^4 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47,53",
9,4,"2,3,5,11",2^3 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47,53",
10,4,"2,3,5,11,13",2^3 * 3^1 * 5^1 * 11^1 * 13^1,0,"7,17,19,23,29,31,37,41,43,47,53",
11,4,"2,3,7,11,13",2^3 * 3^1 * 7^1 * 11^1 * 13^1,0,"5,17,19,23,29,31,37,41,43,47,53",
12,4,"2,3,5,7,13",2^3 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43,47,53",
13,4,"2,3,5,7,13",2^5 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43,47,53",
14,4,"2,3,5,7,17",2^5 * 3^1 * 5^1 * 7^1 * 17^1,0,"11,13,19,23,29,31,37,41,43,47,53",
15,4,"2,3,5,17",2^5 * 3^3 * 5^1 * 17^1,0,"7,11,13,19,23,29,31,37,41,43,47,53",
16,4,"2,3,17,19",2^5 * 3^2 * 17^1 * 19^1,0,"5,7,11,13,23,29,31,37,41,43,47,53",
17,4,"2,3,5,17,19",2^3 * 3^2 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29,31,37,41,43,47,53",
18,4,"2,3,5,7,19",2^3 * 3^3 * 5^1 * 7^1 * 19^1,0,"11,13,17,23,29,31,37,41,43,47,53",
19,4,"2,3,5,7,11,19",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23,29,31,37,41,43,47,53",
20,4,"2,3,5,7,11,23",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 23^1,0,"13,17,19,29,31,37,41,43,47,53",
21,4,"2,3,7,11,23",2^4 * 3^2 * 7^1 * 11^1 * 23^1,0,"5,13,17,19,29,31,37,41,43,47,53",
22,4,"2,3,5,11,23",2^4 * 3^1 * 5^2 * 11^1 * 23^1,0,"7,13,17,19,29,31,37,41,43,47,53",
23,4,"2,3,5,13,23",2^4 * 3^1 * 5^2 * 13^1 * 23^1,0,"7,11,17,19,29,31,37,41,43,47,53",
24,4,"2,3,5,13",2^4 * 3^4 * 5^2 * 13^1,0,"7,11,17,19,23,29,31,37,41,43,47,53",
25,4,"2,3,5,7,13",2^3 * 3^3 * 5^2 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43,47,53",
26,4,"2,3,7,13,29",2^3 * 3^3 * 7^1 * 13^1 * 29^1,0,"5,11,17,19,23,31,37,41,43,47,53",
27,4,"2,3,5,7,29",2^3 * 3^4 * 5^1 * 7^1 * 29^1,0,"11,13,17,19,23,31,37,41,43,47,53",
28,4,"2,3,5,7,29,31",2^3 * 3^1 * 5^1 * 7^1 * 29^1 * 31^1,0,"11,13,17,19,23,37,41,43,47,53",
29,4,"2,3,5,29,31",2^6 * 3^1 * 5^1 * 29^1 * 31^1,0,"7,11,13,17,19,23,37,41,43,47,53",
30,4,"2,3,5,11,31",2^6 * 3^2 * 5^1 * 11^1 * 31^1,0,"7,13,17,19,23,29,37,41,43,47,53",
31,4,"2,3,11,17,31",2^6 * 3^1 * 11^1 * 17^1 * 31^1,0,"5,7,13,19,23,29,37,41,43,47,53",
32,4,"2,3,5,7,11,17",2^6 * 3^1 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19,23,29,31,37,41,43,47,53",
33,4,"2,3,5,7,11,17",2^3 * 3^3 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19,23,29,31,37,41,43,47,53",
34,4,"2,3,5,7,17,37",2^3 * 3^2 * 5^1 * 7^1 * 17^1 * 37^1,0,"11,13,19,23,29,31,41,43,47,53",
35,4,"2,3,5,7,19,37",2^3 * 3^2 * 5^1 * 7^1 * 19^1 * 37^1,0,"11,13,17,23,29,31,41,43,47,53",
36,4,"2,3,13,19,37",2^3 * 3^3 * 13^1 * 19^1 * 37^1,0,"5,7,11,17,23,29,31,41,43,47,53",
