m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,2,2,2^1,0,"3,5,7,11,13,17",
2,2,"2,3",2^1 * 3^1,0,"5,7,11,13,17",
3,2,"2,3",2^2 * 3^1,0,"5,7,11,13,17",
4,2,"2,5",2^2 * 5^1,0,"3,7,11,13,17",
5,2,"2,3,5",2^1 * 3^1 * 5^1,0,"7,11,13,17",
6,2,"2,3,7",2^1 * 3^1 * 7^1,0,"5,11,13,17",
7,2,"2,7",2^3 * 7^1,0,"3,5,11,13,17",
8,2,"2,3",2^3 * 3^2,0,"5,7,11,13,17",
9,2,"2,3,5",2^1 * 3^2 * 5^1,0,"7,11,13,17",
10,2,"2,5,11",2^1 * 5^1 * 11^1,0,"3,7,13,17",
11,2,"2,3,11",2^2 * 3^1 * 11^1,0,"5,7,13,17",
12,2,"2,3,13",2^2 * 3^1 * 13^1,0,"5,7,11,17",
13,2,"2,7,13",2^1 * 7^1 * 13^1,0,"3,5,11,17",
14,2,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17",
15,2,"2,3,5",2^4 * 3^1 * 5^1,0,"7,11,13,17",
16,2,"2,17",2^4 * 17^1,0,"3,5,7,11,13",
17,2,"2,3,17",2^1 * 3^2 * 17^1,0,"5,7,11,13",
20,2,"2,3,5,7",2^2 * 3^1 * 5^1 * 7^1,0,"11,13,17",
21,2,"2,3,7,11",2^1 * 3^1 * 7^1 * 11^1,0,"5,13,17",
24,2,"2,3,5",2^3 * 3^1 * 5^2,0,"7,11,13,17",
25,2,"2,5,13",2^1 * 5^2 * 13^1,0,"3,7,11,17",
26,2,"2,3,13",2^1 * 3^3 * 13^1,0,"5,7,11,17",
27,2,"2,3,7",2^2 * 3^3 * 7^1,0,"5,11,13,17",
32,2,"2,3,11",2^5 * 3^1 * 11^1,0,"5,7,13,17",
33,2,"2,3,11,17",2^1 * 3^1 * 11^1 * 17^1,0,"5,7,13",
34,2,"2,5,7,17",2^1 * 5^1 * 7^1 * 17^1,0,"3,11,13",
35,2,"2,3,5,7",2^2 * 3^2 * 5^1 * 7^1,0,"11,13,17",
39,2,"2,3,5,13",2^3 * 3^1 * 5^1 * 13^1,0,"7,11,17",
44,2,"2,3,5,11",2^2 * 3^2 * 5^1 * 11^1,0,"7,13,17",
48,2,"2,3,7",2^4 * 3^1 * 7^2,0,"5,11,13,17",
49,2,"2,5,7",2^1 * 5^2 * 7^2,0,"3,11,13,17",
50,2,"2,3,5,17",2^1 * 3^1 * 5^2 * 17^1,0,"7,11,13",
51,2,"2,3,13,17",2^2 * 3^1 * 13^1 * 17^1,0,"5,7,11",
54,2,"2,3,5,11",2^1 * 3^3 * 5^1 * 11^1,0,"7,13,17",
55,2,"2,5,7,11",2^3 * 5^1 * 7^1 * 11^1,0,"3,13,17",
63,2,"2,3,7",2^6 * 3^2 * 7^1,0,"5,11,13,17",
64,2,"2,5,13",2^6 * 5^1 * 13^1,0,"3,7,11,17",
65,2,"2,3,5,11,13",2^1 * 3^1 * 5^1 * 11^1 * 13^1,0,"7,17",
