m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,2,2,2^1,0,"3,5,7,11,13",
2,2,"2,3",2^1 * 3^1,0,"5,7,11,13",
3,2,"2,3",2^2 * 3^1,0,"5,7,11,13",
4,2,"2,5",2^2 * 5^1,0,"3,7,11,13",
5,2,"2,3,5",2^1 * 3^1 * 5^1,0,"7,11,13",
6,2,"2,3,7",2^1 * 3^1 * 7^1,0,"5,11,13",
7,2,"2,7",2^3 * 7^1,0,"3,5,11,13",
8,2,"2,3",2^3 * 3^2,0,"5,7,11,13",
9,2,"2,3,5",2^1 * 3^2 * 5^1,0,"7,11,13",
10,2,"2,5,11",2^1 * 5^1 * 11^1,0,"3,7,13",
11,2,"2,3,11",2^2 * 3^1 * 11^1,0,"5,7,13",
12,2,"2,3,13",2^2 * 3^1 * 13^1,0,"5,7,11",
13,2,"2,7,13",2^1 * 7^1 * 13^1,0,"3,5,11",
14,2,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13",
15,2,"2,3,5",2^4 * 3^1 * 5^1,0,"7,11,13",
20,2,"2,3,5,7",2^2 * 3^1 * 5^1 * 7^1,0,"11,13",
21,2,"2,3,7,11",2^1 * 3^1 * 7^1 * 11^1,0,"5,13",
24,2,"2,3,5",2^3 * 3^1 * 5^2,0,"7,11,13",
25,2,"2,5,13",2^1 * 5^2 * 13^1,0,"3,7,11",
26,2,"2,3,13",2^1 * 3^3 * 13^1,0,"5,7,11",
27,2,"2,3,7",2^2 * 3^3 * 7^1,0,"5,11,13",
32,2,"2,3,11",2^5 * 3^1 * 11^1,0,"5,7,13",
35,2,"2,3,5,7",2^2 * 3^2 * 5^1 * 7^1,0,"11,13",
39,2,"2,3,5,13",2^3 * 3^1 * 5^1 * 13^1,0,"7,11",
44,2,"2,3,5,11",2^2 * 3^2 * 5^1 * 11^1,0,"7,13",
48,2,"2,3,7",2^4 * 3^1 * 7^2,0,"5,11,13",
49,2,"2,5,7",2^1 * 5^2 * 7^2,0,"3,11,13",
54,2,"2,3,5,11",2^1 * 3^3 * 5^1 * 11^1,0,"7,13",
55,2,"2,5,7,11",2^3 * 5^1 * 7^1 * 11^1,0,"3,13",
63,2,"2,3,7",2^6 * 3^2 * 7^1,0,"5,11,13",
64,2,"2,5,13",2^6 * 5^1 * 13^1,0,"3,7,11",
65,2,"2,3,5,11,13",2^1 * 3^1 * 5^1 * 11^1 * 13^1,0,7,
77,2,"2,3,7,11,13",2^1 * 3^1 * 7^1 * 11^1 * 13^1,0,5,
80,2,"2,3,5",2^4 * 3^4 * 5^1,0,"7,11,13",
90,2,"2,3,5,7,13",2^1 * 3^2 * 5^1 * 7^1 * 13^1,0,11,
98,2,"2,3,7,11",2^1 * 3^2 * 7^2 * 11^1,0,"5,13",
99,2,"2,3,5,11",2^2 * 3^2 * 5^2 * 11^1,0,"7,13",
104,2,"2,3,5,7,13",2^3 * 3^1 * 5^1 * 7^1 * 13^1,0,11,
120,2,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^2,0,"7,13",
125,2,"2,3,5,7",2^1 * 3^2 * 5^3 * 7^1,0,"11,13",
143,2,"2,3,11,13",2^4 * 3^2 * 11^1 * 13^1,0,"5,7",
168,2,"2,3,7,13",2^3 * 3^1 * 7^1 * 13^2,0,"5,11",
175,2,"2,5,7,11",2^4 * 5^2 * 7^1 * 11^1,0,"3,13",
195,2,"2,3,5,7,13",2^2 * 3^1 * 5^1 * 7^2 * 13^1,0,11,
224,2,"2,3,5,7",2^5 * 3^2 * 5^2 * 7^1,0,"11,13",
242,2,"2,3,11",2^1 * 3^5 * 11^2,0,"5,7,13",
324,2,"2,3,5,13",2^2 * 3^4 * 5^2 * 13^1,0,"7,11",
350,2,"2,3,5,7,13",2^1 * 3^3 * 5^2 * 7^1 * 13^1,0,11,
351,2,"2,3,11,13",2^5 * 3^3 * 11^1 * 13^1,0,"5,7",
363,2,"2,3,7,11,13",2^2 * 3^1 * 7^1 * 11^2 * 13^1,0,5,
384,2,"2,3,5,7,11",2^7 * 3^1 * 5^1 * 7^1 * 11^1,0,13,
440,2,"2,3,5,7,11",2^3 * 3^2 * 5^1 * 7^2 * 11^1,0,13,
539,2,"2,3,5,7,11",2^2 * 3^3 * 5^1 * 7^2 * 11^1,0,13,
624,2,"2,3,5,13",2^4 * 3^1 * 5^4 * 13^1,0,"7,11",
675,2,"2,3,5,13",2^2 * 3^3 * 5^2 * 13^2,0,"7,11",
728,2,"2,3,7,13",2^3 * 3^6 * 7^1 * 13^1,0,"5,11",
1000,2,"2,5,7,11,13",2^3 * 5^3 * 7^1 * 11^1 * 13^1,0,3,
1715,2,"2,3,5,7,11,13",2^2 * 3^1 * 5^1 * 7^3 * 11^1 * 13^1,1,,
2079,2,"2,3,5,7,11,13",2^5 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1,1,,
2400,2,"2,3,5,7",2^5 * 3^1 * 5^2 * 7^4,0,"11,13",
3024,2,"2,3,5,7,11",2^4 * 3^3 * 5^2 * 7^1 * 11^2,0,13,
4095,2,"2,3,5,7,13",2^12 * 3^2 * 5^1 * 7^1 * 13^1,0,11,
4224,2,"2,3,5,11,13",2^7 * 3^1 * 5^2 * 11^1 * 13^2,0,7,
4374,2,"2,3,5,7",2^1 * 3^7 * 5^4 * 7^1,0,"11,13",
6655,2,"2,5,11,13",2^9 * 5^1 * 11^3 * 13^1,0,"3,7",
9800,2,"2,3,5,7,11",2^3 * 3^4 * 5^2 * 7^2 * 11^2,0,13,
