m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,3,"2,3",2^1 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41",
2,3,"2,3",2^3 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41",
3,3,"2,3,5",2^2 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41",
4,3,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41",
5,3,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41",
6,3,"2,3,7",2^4 * 3^1 * 7^1,0,"5,11,13,17,19,23,29,31,37,41",
7,3,"2,3,7",2^3 * 3^2 * 7^1,0,"5,11,13,17,19,23,29,31,37,41",
8,3,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41",
9,3,"2,3,5,11",2^1 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41",
10,3,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41",
11,3,"2,3,11,13",2^2 * 3^1 * 11^1 * 13^1,0,"5,7,17,19,23,29,31,37,41",
12,3,"2,3,7,13",2^3 * 3^1 * 7^1 * 13^1,0,"5,11,17,19,23,29,31,37,41",
13,3,"2,3,5,7,13",2^1 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41",
14,3,"2,3,5,7",2^5 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41",
15,3,"2,3,5,17",2^4 * 3^1 * 5^1 * 17^1,0,"7,11,13,19,23,29,31,37,41",
16,3,"2,3,17",2^5 * 3^2 * 17^1,0,"5,7,11,13,19,23,29,31,37,41",
17,3,"2,3,17,19",2^1 * 3^2 * 17^1 * 19^1,0,"5,7,11,13,23,29,31,37,41",
18,3,"2,3,5,19",2^3 * 3^2 * 5^1 * 19^1,0,"7,11,13,17,23,29,31,37,41",
19,3,"2,3,5,7,19",2^2 * 3^1 * 5^1 * 7^1 * 19^1,0,"11,13,17,23,29,31,37,41",
20,3,"2,3,5,7,11",2^3 * 3^1 * 5^1 * 7^1 * 11^1,0,"13,17,19,23,29,31,37,41",
21,3,"2,3,7,11,23",2^1 * 3^1 * 7^1 * 11^1 * 23^1,0,"5,13,17,19,29,31,37,41",
22,3,"2,3,11,23",2^4 * 3^1 * 11^1 * 23^1,0,"5,7,13,17,19,29,31,37,41",
23,3,"2,3,5,23",2^3 * 3^1 * 5^2 * 23^1,0,"7,11,13,17,19,29,31,37,41",
24,3,"2,3,5,13",2^4 * 3^1 * 5^2 * 13^1,0,"7,11,17,19,23,29,31,37,41",
25,3,"2,3,5,13",2^1 * 3^3 * 5^2 * 13^1,0,"7,11,17,19,23,29,31,37,41",
26,3,"2,3,7,13",2^3 * 3^3 * 7^1 * 13^1,0,"5,11,17,19,23,29,31,37,41",
27,3,"2,3,7,29",2^2 * 3^3 * 7^1 * 29^1,0,"5,11,13,17,19,23,31,37,41",
28,3,"2,3,5,7,29",2^3 * 3^1 * 5^1 * 7^1 * 29^1,0,"11,13,17,19,23,31,37,41",
29,3,"2,3,5,29,31",2^1 * 3^1 * 5^1 * 29^1 * 31^1,0,"7,11,13,17,19,23,37,41",
30,3,"2,3,5,31",2^6 * 3^1 * 5^1 * 31^1,0,"7,11,13,17,19,23,29,37,41",
31,3,"2,3,11,31",2^5 * 3^1 * 11^1 * 31^1,0,"5,7,13,17,19,23,29,37,41",
32,3,"2,3,11,17",2^6 * 3^1 * 11^1 * 17^1,0,"5,7,13,19,23,29,31,37,41",
33,3,"2,3,5,7,11,17",2^1 * 3^1 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19,23,29,31,37,41",
34,3,"2,3,5,7,17",2^3 * 3^2 * 5^1 * 7^1 * 17^1,0,"11,13,19,23,29,31,37,41",
35,3,"2,3,5,7,37",2^2 * 3^2 * 5^1 * 7^1 * 37^1,0,"11,13,17,19,23,29,31,41",
36,3,"2,3,19,37",2^3 * 3^2 * 19^1 * 37^1,0,"5,7,11,13,17,23,29,31,41",
37,3,"2,3,13,19,37",2^1 * 3^1 * 13^1 * 19^1 * 37^1,0,"5,7,11,17,23,29,31,41",
38,3,"2,3,5,13,19",2^4 * 3^1 * 5^1 * 13^1 * 19^1,0,"7,11,17,23,29,31,37,41",
39,3,"2,3,5,13,41",2^3 * 3^1 * 5^1 * 13^1 * 41^1,0,"7,11,17,19,23,29,31,37",
40,3,"2,3,5,7,41",2^4 * 3^1 * 5^1 * 7^1 * 41^1,0,"11,13,17,19,23,29,31,37",
