m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,2,2,2^1,0,"3,5,7,11,13,17,19,23,29,31,37,41,43,47",
2,2,"2,3",2^1 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,47",
3,2,"2,3",2^2 * 3^1,0,"5,7,11,13,17,19,23,29,31,37,41,43,47",
4,2,"2,5",2^2 * 5^1,0,"3,7,11,13,17,19,23,29,31,37,41,43,47",
5,2,"2,3,5",2^1 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47",
6,2,"2,3,7",2^1 * 3^1 * 7^1,0,"5,11,13,17,19,23,29,31,37,41,43,47",
7,2,"2,7",2^3 * 7^1,0,"3,5,11,13,17,19,23,29,31,37,41,43,47",
8,2,"2,3",2^3 * 3^2,0,"5,7,11,13,17,19,23,29,31,37,41,43,47",
9,2,"2,3,5",2^1 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47",
10,2,"2,5,11",2^1 * 5^1 * 11^1,0,"3,7,13,17,19,23,29,31,37,41,43,47",
11,2,"2,3,11",2^2 * 3^1 * 11^1,0,"5,7,13,17,19,23,29,31,37,41,43,47",
12,2,"2,3,13",2^2 * 3^1 * 13^1,0,"5,7,11,17,19,23,29,31,37,41,43,47",
13,2,"2,7,13",2^1 * 7^1 * 13^1,0,"3,5,11,17,19,23,29,31,37,41,43,47",
14,2,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47",
15,2,"2,3,5",2^4 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47",
16,2,"2,17",2^4 * 17^1,0,"3,5,7,11,13,19,23,29,31,37,41,43,47",
17,2,"2,3,17",2^1 * 3^2 * 17^1,0,"5,7,11,13,19,23,29,31,37,41,43,47",
18,2,"2,3,19",2^1 * 3^2 * 19^1,0,"5,7,11,13,17,23,29,31,37,41,43,47",
19,2,"2,5,19",2^2 * 5^1 * 19^1,0,"3,7,11,13,17,23,29,31,37,41,43,47",
20,2,"2,3,5,7",2^2 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47",
21,2,"2,3,7,11",2^1 * 3^1 * 7^1 * 11^1,0,"5,13,17,19,23,29,31,37,41,43,47",
22,2,"2,11,23",2^1 * 11^1 * 23^1,0,"3,5,7,13,17,19,29,31,37,41,43,47",
23,2,"2,3,23",2^3 * 3^1 * 23^1,0,"5,7,11,13,17,19,29,31,37,41,43,47",
24,2,"2,3,5",2^3 * 3^1 * 5^2,0,"7,11,13,17,19,23,29,31,37,41,43,47",
25,2,"2,5,13",2^1 * 5^2 * 13^1,0,"3,7,11,17,19,23,29,31,37,41,43,47",
26,2,"2,3,13",2^1 * 3^3 * 13^1,0,"5,7,11,17,19,23,29,31,37,41,43,47",
27,2,"2,3,7",2^2 * 3^3 * 7^1,0,"5,11,13,17,19,23,29,31,37,41,43,47",
28,2,"2,7,29",2^2 * 7^1 * 29^1,0,"3,5,11,13,17,19,23,31,37,41,43,47",
29,2,"2,3,5,29",2^1 * 3^1 * 5^1 * 29^1,0,"7,11,13,17,19,23,31,37,41,43,47",
30,2,"2,3,5,31",2^1 * 3^1 * 5^1 * 31^1,0,"7,11,13,17,19,23,29,37,41,43,47",
31,2,"2,31",2^5 * 31^1,0,"3,5,7,11,13,17,19,23,29,37,41,43,47",
32,2,"2,3,11",2^5 * 3^1 * 11^1,0,"5,7,13,17,19,23,29,31,37,41,43,47",
33,2,"2,3,11,17",2^1 * 3^1 * 11^1 * 17^1,0,"5,7,13,19,23,29,31,37,41,43,47",
34,2,"2,5,7,17",2^1 * 5^1 * 7^1 * 17^1,0,"3,11,13,19,23,29,31,37,41,43,47",
35,2,"2,3,5,7",2^2 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47",
36,2,"2,3,37",2^2 * 3^2 * 37^1,0,"5,7,11,13,17,19,23,29,31,41,43,47",
37,2,"2,19,37",2^1 * 19^1 * 37^1,0,"3,5,7,11,13,17,23,29,31,41,43,47",
38,2,"2,3,13,19",2^1 * 3^1 * 13^1 * 19^1,0,"5,7,11,17,23,29,31,37,41,43,47",
39,2,"2,3,5,13",2^3 * 3^1 * 5^1 * 13^1,0,"7,11,17,19,23,29,31,37,41,43,47",
40,2,"2,5,41",2^3 * 5^1 * 41^1,0,"3,7,11,13,17,19,23,29,31,37,43,47",
41,2,"2,3,7,41",2^1 * 3^1 * 7^1 * 41^1,0,"5,11,13,17,19,23,29,31,37,43,47",
42,2,"2,3,7,43",2^1 * 3^1 * 7^1 * 43^1,0,"5,11,13,17,19,23,29,31,37,41,47",
43,2,"2,11,43",2^2 * 11^1 * 43^1,0,"3,5,7,13,17,19,23,29,31,37,41,47",
44,2,"2,3,5,11",2^2 * 3^2 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47",
45,2,"2,3,5,23",2^1 * 3^2 * 5^1 * 23^1,0,"7,11,13,17,19,29,31,37,41,43,47",
46,2,"2,23,47",2^1 * 23^1 * 47^1,0,"3,5,7,11,13,17,19,29,31,37,41,43",
47,2,"2,3,47",2^4 * 3^1 * 47^1,0,"5,7,11,13,17,19,23,29,31,37,41,43",
48,2,"2,3,7",2^4 * 3^1 * 7^2,0,"5,11,13,17,19,23,29,31,37,41,43,47",
49,2,"2,5,7",2^1 * 5^2 * 7^2,0,"3,11,13,17,19,23,29,31,37,41,43,47",
50,2,"2,3,5,17",2^1 * 3^1 * 5^2 * 17^1,0,"7,11,13,19,23,29,31,37,41,43,47",
51,2,"2,3,13,17",2^2 * 3^1 * 13^1 * 17^1,0,"5,7,11,19,23,29,31,37,41,43,47",
54,2,"2,3,5,11",2^1 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47",
55,2,"2,5,7,11",2^3 * 5^1 * 7^1 * 11^1,0,"3,13,17,19,23,29,31,37,41,43,47",
