m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,2,2,2^1,0,"3,5,7,11",
2,2,"2,3",2^1 * 3^1,0,"5,7,11",
3,2,"2,3",2^2 * 3^1,0,"5,7,11",
4,2,"2,5",2^2 * 5^1,0,"3,7,11",
5,2,"2,3,5",2^1 * 3^1 * 5^1,0,"7,11",
6,2,"2,3,7",2^1 * 3^1 * 7^1,0,"5,11",
7,2,"2,7",2^3 * 7^1,0,"3,5,11",
8,2,"2,3",2^3 * 3^2,0,"5,7,11",
9,2,"2,3,5",2^1 * 3^2 * 5^1,0,"7,11",
10,2,"2,5,11",2^1 * 5^1 * 11^1,0,"3,7",
11,2,"2,3,11",2^2 * 3^1 * 11^1,0,"5,7",
14,2,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,11,
15,2,"2,3,5",2^4 * 3^1 * 5^1,0,"7,11",
20,2,"2,3,5,7",2^2 * 3^1 * 5^1 * 7^1,0,11,
21,2,"2,3,7,11",2^1 * 3^1 * 7^1 * 11^1,0,5,
24,2,"2,3,5",2^3 * 3^1 * 5^2,0,"7,11",
27,2,"2,3,7",2^2 * 3^3 * 7^1,0,"5,11",
32,2,"2,3,11",2^5 * 3^1 * 11^1,0,"5,7",
35,2,"2,3,5,7",2^2 * 3^2 * 5^1 * 7^1,0,11,
44,2,"2,3,5,11",2^2 * 3^2 * 5^1 * 11^1,0,7,
48,2,"2,3,7",2^4 * 3^1 * 7^2,0,"5,11",
49,2,"2,5,7",2^1 * 5^2 * 7^2,0,"3,11",
54,2,"2,3,5,11",2^1 * 3^3 * 5^1 * 11^1,0,7,
55,2,"2,5,7,11",2^3 * 5^1 * 7^1 * 11^1,0,3,
63,2,"2,3,7",2^6 * 3^2 * 7^1,0,"5,11",
80,2,"2,3,5",2^4 * 3^4 * 5^1,0,"7,11",
98,2,"2,3,7,11",2^1 * 3^2 * 7^2 * 11^1,0,5,
99,2,"2,3,5,11",2^2 * 3^2 * 5^2 * 11^1,0,7,
120,2,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^2,0,7,
125,2,"2,3,5,7",2^1 * 3^2 * 5^3 * 7^1,0,11,
175,2,"2,5,7,11",2^4 * 5^2 * 7^1 * 11^1,0,3,
224,2,"2,3,5,7",2^5 * 3^2 * 5^2 * 7^1,0,11,
242,2,"2,3,11",2^1 * 3^5 * 11^2,0,"5,7",
384,2,"2,3,5,7,11",2^7 * 3^1 * 5^1 * 7^1 * 11^1,1,,
440,2,"2,3,5,7,11",2^3 * 3^2 * 5^1 * 7^2 * 11^1,1,,
539,2,"2,3,5,7,11",2^2 * 3^3 * 5^1 * 7^2 * 11^1,1,,
2400,2,"2,3,5,7",2^5 * 3^1 * 5^2 * 7^4,0,11,
3024,2,"2,3,5,7,11",2^4 * 3^3 * 5^2 * 7^1 * 11^2,1,,
4374,2,"2,3,5,7",2^1 * 3^7 * 5^4 * 7^1,0,11,
9800,2,"2,3,5,7,11",2^3 * 3^4 * 5^2 * 7^2 * 11^2,1,,
