m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,3,"2,3",2^1 * 3^1,0,"5,7,11,13,17",
2,3,"2,3",2^3 * 3^1,0,"5,7,11,13,17",
3,3,"2,3,5",2^2 * 3^1 * 5^1,0,"7,11,13,17",
4,3,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17",
5,3,"2,3,5,7",2^1 * 3^1 * 5^1 * 7^1,0,"11,13,17",
6,3,"2,3,7",2^4 * 3^1 * 7^1,0,"5,11,13,17",
7,3,"2,3,7",2^3 * 3^2 * 7^1,0,"5,11,13,17",
8,3,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17",
9,3,"2,3,5,11",2^1 * 3^2 * 5^1 * 11^1,0,"7,13,17",
10,3,"2,3,5,11",2^3 * 3^1 * 5^1 * 11^1,0,"7,13,17",
11,3,"2,3,11,13",2^2 * 3^1 * 11^1 * 13^1,0,"5,7,17",
12,3,"2,3,7,13",2^3 * 3^1 * 7^1 * 13^1,0,"5,11,17",
13,3,"2,3,5,7,13",2^1 * 3^1 * 5^1 * 7^1 * 13^1,0,"11,17",
14,3,"2,3,5,7",2^5 * 3^1 * 5^1 * 7^1,0,"11,13,17",
15,3,"2,3,5,17",2^4 * 3^1 * 5^1 * 17^1,0,"7,11,13",
16,3,"2,3,17",2^5 * 3^2 * 17^1,0,"5,7,11,13",
20,3,"2,3,5,7,11",2^3 * 3^1 * 5^1 * 7^1 * 11^1,0,"13,17",
24,3,"2,3,5,13",2^4 * 3^1 * 5^2 * 13^1,0,"7,11,17",
25,3,"2,3,5,13",2^1 * 3^3 * 5^2 * 13^1,0,"7,11,17",
26,3,"2,3,7,13",2^3 * 3^3 * 7^1 * 13^1,0,"5,11,17",
32,3,"2,3,11,17",2^6 * 3^1 * 11^1 * 17^1,0,"5,7,13",
33,3,"2,3,5,7,11,17",2^1 * 3^1 * 5^1 * 7^1 * 11^1 * 17^1,0,13,
34,3,"2,3,5,7,17",2^3 * 3^2 * 5^1 * 7^1 * 17^1,0,"11,13",
48,3,"2,3,5,7",2^5 * 3^1 * 5^2 * 7^2,0,"11,13,17",
49,3,"2,3,5,7,17",2^1 * 3^1 * 5^2 * 7^2 * 17^1,0,"11,13",
50,3,"2,3,5,13,17",2^3 * 3^1 * 5^2 * 13^1 * 17^1,0,"7,11",
54,3,"2,3,5,7,11",2^4 * 3^3 * 5^1 * 7^1 * 11^1,0,"13,17",
63,3,"2,3,5,7,13",2^6 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17",
64,3,"2,3,5,11,13",2^7 * 3^1 * 5^1 * 11^1 * 13^1,0,"7,17",
98,3,"2,3,5,7,11",2^3 * 3^2 * 5^2 * 7^2 * 11^1,0,"13,17",
119,3,"2,3,5,7,11,17",2^3 * 3^1 * 5^1 * 7^1 * 11^2 * 17^1,0,13,
168,3,"2,3,5,7,13,17",2^4 * 3^1 * 5^1 * 7^1 * 13^2 * 17^1,0,11,
350,3,"2,3,5,7,11,13",2^6 * 3^3 * 5^2 * 7^1 * 11^1 * 13^1,0,17,
440,3,"2,3,5,7,11,13,17",2^4 * 3^2 * 5^1 * 7^2 * 11^1 * 13^1 * 17^1,1,,
