m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,5,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47",
2,5,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43,47",
3,5,"2,3,5,7",2^3 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47",
4,5,"2,3,5,7",2^6 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47",
5,5,"2,3,5,7",2^4 * 3^3 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47",
6,5,"2,3,5,7",2^5 * 3^3 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43,47",
7,5,"2,3,5,7,11",2^4 * 3^2 * 5^1 * 7^1 * 11^1,0,"13,17,19,23,29,31,37,41,43,47",
8,5,"2,3,5,11",2^6 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43,47",
9,5,"2,3,5,11,13",2^3 * 3^3 * 5^1 * 11^1 * 13^1,0,"7,17,19,23,29,31,37,41,43,47",
10,5,"2,3,5,7,11,13",2^4 * 3^1 * 5^1 * 7^1 * 11^1 * 13^1,0,"17,19,23,29,31,37,41,43,47",
11,5,"2,3,5,7,11,13",2^3 * 3^2 * 5^1 * 7^1 * 11^1 * 13^1,0,"17,19,23,29,31,37,41,43,47",
12,5,"2,3,5,7,13",2^7 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43,47",
13,5,"2,3,5,7,13,17",2^5 * 3^1 * 5^1 * 7^1 * 13^1 * 17^1,0,"11,19,23,29,31,37,41,43,47",
14,5,"2,3,5,7,17",2^6 * 3^3 * 5^1 * 7^1 * 17^1,0,"11,13,19,23,29,31,37,41,43,47",
15,5,"2,3,5,17,19",2^5 * 3^3 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29,31,37,41,43,47",
16,5,"2,3,5,17,19",2^7 * 3^2 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29,31,37,41,43,47",
17,5,"2,3,5,7,17,19",2^3 * 3^3 * 5^1 * 7^1 * 17^1 * 19^1,0,"11,13,23,29,31,37,41,43,47",
18,5,"2,3,5,7,11,19",2^4 * 3^3 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23,29,31,37,41,43,47",
19,5,"2,3,5,7,11,19,23",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1 * 23^1,0,"13,17,29,31,37,41,43,47",
20,5,"2,3,5,7,11,23",2^6 * 3^2 * 5^1 * 7^1 * 11^1 * 23^1,0,"13,17,19,29,31,37,41,43,47",
21,5,"2,3,5,7,11,23",2^4 * 3^2 * 5^2 * 7^1 * 11^1 * 23^1,0,"13,17,19,29,31,37,41,43,47",
22,5,"2,3,5,11,13,23",2^5 * 3^1 * 5^2 * 11^1 * 13^1 * 23^1,0,"7,17,19,29,31,37,41,43,47",
23,5,"2,3,5,13,23",2^4 * 3^4 * 5^2 * 13^1 * 23^1,0,"7,11,17,19,29,31,37,41,43,47",
24,5,"2,3,5,7,13",2^6 * 3^4 * 5^2 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43,47",
25,5,"2,3,5,7,13,29",2^3 * 3^3 * 5^2 * 7^1 * 13^1 * 29^1,0,"11,17,19,23,31,37,41,43,47",
26,5,"2,3,5,7,13,29",2^4 * 3^4 * 5^1 * 7^1 * 13^1 * 29^1,0,"11,17,19,23,31,37,41,43,47",
27,5,"2,3,5,7,29,31",2^3 * 3^4 * 5^1 * 7^1 * 29^1 * 31^1,0,"11,13,17,19,23,37,41,43,47",
28,5,"2,3,5,7,29,31",2^8 * 3^1 * 5^1 * 7^1 * 29^1 * 31^1,0,"11,13,17,19,23,37,41,43,47",
29,5,"2,3,5,11,29,31",2^6 * 3^2 * 5^1 * 11^1 * 29^1 * 31^1,0,"7,13,17,19,23,37,41,43,47",
30,5,"2,3,5,11,17,31",2^7 * 3^2 * 5^1 * 11^1 * 17^1 * 31^1,0,"7,13,19,23,29,37,41,43,47",
31,5,"2,3,5,7,11,17,31",2^6 * 3^1 * 5^1 * 7^1 * 11^1 * 17^1 * 31^1,0,"13,19,23,29,37,41,43,47",
32,5,"2,3,5,7,11,17",2^8 * 3^3 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19,23,29,31,37,41,43,47",
33,5,"2,3,5,7,11,17,37",2^3 * 3^3 * 5^1 * 7^1 * 11^1 * 17^1 * 37^1,0,"13,19,23,29,31,41,43,47",
34,5,"2,3,5,7,17,19,37",2^4 * 3^2 * 5^1 * 7^1 * 17^1 * 19^1 * 37^1,0,"11,13,23,29,31,41,43,47",
35,5,"2,3,5,7,13,19,37",2^3 * 3^3 * 5^1 * 7^1 * 13^1 * 19^1 * 37^1,0,"11,17,23,29,31,41,43,47",
36,5,"2,3,5,13,19,37",2^6 * 3^3 * 5^1 * 13^1 * 19^1 * 37^1,0,"7,11,17,23,29,31,41,43,47",
37,5,"2,3,5,13,19,37,41",2^4 * 3^1 * 5^1 * 13^1 * 19^1 * 37^1 * 41^1,0,"7,11,17,23,29,31,43,47",
38,5,"2,3,5,7,13,19,41",2^5 * 3^2 * 5^1 * 7^1 * 13^1 * 19^1 * 41^1,0,"11,17,23,29,31,37,43,47",
39,5,"2,3,5,7,13,41,43",2^4 * 3^2 * 5^1 * 7^1 * 13^1 * 41^1 * 43^1,0,"11,17,19,23,29,31,37,47",
40,5,"2,3,5,7,11,41,43",2^6 * 3^1 * 5^1 * 7^1 * 11^1 * 41^1 * 43^1,0,"13,17,19,23,29,31,37,47",
41,5,"2,3,5,7,11,41,43",2^3 * 3^3 * 5^1 * 7^1 * 11^1 * 41^1 * 43^1,0,"13,17,19,23,29,31,37,47",
42,5,"2,3,5,7,11,23,43",2^4 * 3^3 * 5^1 * 7^1 * 11^1 * 23^1 * 43^1,0,"13,17,19,29,31,37,41,47",
43,5,"2,3,5,11,23,43,47",2^3 * 3^2 * 5^1 * 11^1 * 23^1 * 43^1 * 47^1,0,"7,13,17,19,29,31,37,41",
44,5,"2,3,5,11,23,47",2^7 * 3^3 * 5^1 * 11^1 * 23^1 * 47^1,0,"7,13,17,19,29,31,37,41,43",
45,5,"2,3,5,7,23,47",2^5 * 3^3 * 5^1 * 7^2 * 23^1 * 47^1,0,"11,13,17,19,29,31,37,41,43",
46,5,"2,3,5,7,23,47",2^6 * 3^1 * 5^2 * 7^2 * 23^1 * 47^1,0,"11,13,17,19,29,31,37,41,43",
47,5,"2,3,5,7,17,47",2^5 * 3^2 * 5^2 * 7^2 * 17^1 * 47^1,0,"11,13,19,23,29,31,37,41,43",
48,5,"2,3,5,7,13,17",2^7 * 3^2 * 5^2 * 7^2 * 13^1 * 17^1,0,"11,19,23,29,31,37,41,43,47",
54,5,"2,3,5,7,11,19,29",2^5 * 3^4 * 5^1 * 7^1 * 11^1 * 19^1 * 29^1,0,"13,17,23,31,37,41,43,47",
62,5,"2,3,5,7,11,13,31",2^8 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1 * 31^1,0,"17,19,23,29,37,41,43,47",
74,5,"2,3,5,7,11,13,19,37",2^4 * 3^2 * 5^2 * 7^1 * 11^1 * 13^1 * 19^1 * 37^1,0,"17,23,29,31,41,43,47",
84,5,"2,3,5,7,11,17,29,43",2^6 * 3^2 * 5^1 * 7^1 * 11^1 * 17^1 * 29^1 * 43^1,0,"13,19,23,31,37,41,47",
90,5,"2,3,5,7,13,23,31,47",2^4 * 3^3 * 5^1 * 7^1 * 13^1 * 23^1 * 31^1 * 47^1,0,"11,17,19,29,37,41,43",
91,5,"2,3,5,7,13,19,23,31,47",2^3 * 3^1 * 5^1 * 7^1 * 13^1 * 19^1 * 23^1 * 31^1 * 47^1,0,"11,17,29,37,41,43",
92,5,"2,3,5,19,23,31,47",2^8 * 3^2 * 5^1 * 19^1 * 23^1 * 31^1 * 47^1,0,"7,11,13,17,29,37,41,43",
152,5,"2,3,5,7,11,13,17,19,31",2^6 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1 * 17^1 * 19^1 * 31^1,0,"23,29,37,41,43,47",
168,5,"2,3,5,7,13,17,19,43",2^6 * 3^3 * 5^1 * 7^1 * 13^2 * 17^1 * 19^1 * 43^1,0,"11,23,29,31,37,41,47",
184,5,"2,3,5,11,17,23,31,37,47",2^6 * 3^1 * 5^1 * 11^1 * 17^1 * 23^1 * 31^1 * 37^1 * 47^1,0,"7,13,19,29,41,43",
