m,r,Nr_prime_support,Nr_factorization,pi_complete_order_omega,missing_from_target_support,extra_primes
1,5,"2,3,5",2^3 * 3^1 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43",
2,5,"2,3,5",2^4 * 3^2 * 5^1,0,"7,11,13,17,19,23,29,31,37,41,43",
3,5,"2,3,5,7",2^3 * 3^2 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43",
4,5,"2,3,5,7",2^6 * 3^1 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43",
5,5,"2,3,5,7",2^4 * 3^3 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43",
6,5,"2,3,5,7",2^5 * 3^3 * 5^1 * 7^1,0,"11,13,17,19,23,29,31,37,41,43",
7,5,"2,3,5,7,11",2^4 * 3^2 * 5^1 * 7^1 * 11^1,0,"13,17,19,23,29,31,37,41,43",
8,5,"2,3,5,11",2^6 * 3^3 * 5^1 * 11^1,0,"7,13,17,19,23,29,31,37,41,43",
9,5,"2,3,5,11,13",2^3 * 3^3 * 5^1 * 11^1 * 13^1,0,"7,17,19,23,29,31,37,41,43",
10,5,"2,3,5,7,11,13",2^4 * 3^1 * 5^1 * 7^1 * 11^1 * 13^1,0,"17,19,23,29,31,37,41,43",
11,5,"2,3,5,7,11,13",2^3 * 3^2 * 5^1 * 7^1 * 11^1 * 13^1,0,"17,19,23,29,31,37,41,43",
12,5,"2,3,5,7,13",2^7 * 3^2 * 5^1 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43",
13,5,"2,3,5,7,13,17",2^5 * 3^1 * 5^1 * 7^1 * 13^1 * 17^1,0,"11,19,23,29,31,37,41,43",
14,5,"2,3,5,7,17",2^6 * 3^3 * 5^1 * 7^1 * 17^1,0,"11,13,19,23,29,31,37,41,43",
15,5,"2,3,5,17,19",2^5 * 3^3 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29,31,37,41,43",
16,5,"2,3,5,17,19",2^7 * 3^2 * 5^1 * 17^1 * 19^1,0,"7,11,13,23,29,31,37,41,43",
17,5,"2,3,5,7,17,19",2^3 * 3^3 * 5^1 * 7^1 * 17^1 * 19^1,0,"11,13,23,29,31,37,41,43",
18,5,"2,3,5,7,11,19",2^4 * 3^3 * 5^1 * 7^1 * 11^1 * 19^1,0,"13,17,23,29,31,37,41,43",
19,5,"2,3,5,7,11,19,23",2^3 * 3^1 * 5^1 * 7^1 * 11^1 * 19^1 * 23^1,0,"13,17,29,31,37,41,43",
20,5,"2,3,5,7,11,23",2^6 * 3^2 * 5^1 * 7^1 * 11^1 * 23^1,0,"13,17,19,29,31,37,41,43",
21,5,"2,3,5,7,11,23",2^4 * 3^2 * 5^2 * 7^1 * 11^1 * 23^1,0,"13,17,19,29,31,37,41,43",
22,5,"2,3,5,11,13,23",2^5 * 3^1 * 5^2 * 11^1 * 13^1 * 23^1,0,"7,17,19,29,31,37,41,43",
23,5,"2,3,5,13,23",2^4 * 3^4 * 5^2 * 13^1 * 23^1,0,"7,11,17,19,29,31,37,41,43",
24,5,"2,3,5,7,13",2^6 * 3^4 * 5^2 * 7^1 * 13^1,0,"11,17,19,23,29,31,37,41,43",
25,5,"2,3,5,7,13,29",2^3 * 3^3 * 5^2 * 7^1 * 13^1 * 29^1,0,"11,17,19,23,31,37,41,43",
26,5,"2,3,5,7,13,29",2^4 * 3^4 * 5^1 * 7^1 * 13^1 * 29^1,0,"11,17,19,23,31,37,41,43",
27,5,"2,3,5,7,29,31",2^3 * 3^4 * 5^1 * 7^1 * 29^1 * 31^1,0,"11,13,17,19,23,37,41,43",
28,5,"2,3,5,7,29,31",2^8 * 3^1 * 5^1 * 7^1 * 29^1 * 31^1,0,"11,13,17,19,23,37,41,43",
29,5,"2,3,5,11,29,31",2^6 * 3^2 * 5^1 * 11^1 * 29^1 * 31^1,0,"7,13,17,19,23,37,41,43",
30,5,"2,3,5,11,17,31",2^7 * 3^2 * 5^1 * 11^1 * 17^1 * 31^1,0,"7,13,19,23,29,37,41,43",
31,5,"2,3,5,7,11,17,31",2^6 * 3^1 * 5^1 * 7^1 * 11^1 * 17^1 * 31^1,0,"13,19,23,29,37,41,43",
32,5,"2,3,5,7,11,17",2^8 * 3^3 * 5^1 * 7^1 * 11^1 * 17^1,0,"13,19,23,29,31,37,41,43",
33,5,"2,3,5,7,11,17,37",2^3 * 3^3 * 5^1 * 7^1 * 11^1 * 17^1 * 37^1,0,"13,19,23,29,31,41,43",
34,5,"2,3,5,7,17,19,37",2^4 * 3^2 * 5^1 * 7^1 * 17^1 * 19^1 * 37^1,0,"11,13,23,29,31,41,43",
35,5,"2,3,5,7,13,19,37",2^3 * 3^3 * 5^1 * 7^1 * 13^1 * 19^1 * 37^1,0,"11,17,23,29,31,41,43",
36,5,"2,3,5,13,19,37",2^6 * 3^3 * 5^1 * 13^1 * 19^1 * 37^1,0,"7,11,17,23,29,31,41,43",
37,5,"2,3,5,13,19,37,41",2^4 * 3^1 * 5^1 * 13^1 * 19^1 * 37^1 * 41^1,0,"7,11,17,23,29,31,43",
38,5,"2,3,5,7,13,19,41",2^5 * 3^2 * 5^1 * 7^1 * 13^1 * 19^1 * 41^1,0,"11,17,23,29,31,37,43",
39,5,"2,3,5,7,13,41,43",2^4 * 3^2 * 5^1 * 7^1 * 13^1 * 41^1 * 43^1,0,"11,17,19,23,29,31,37",
40,5,"2,3,5,7,11,41,43",2^6 * 3^1 * 5^1 * 7^1 * 11^1 * 41^1 * 43^1,0,"13,17,19,23,29,31,37",
41,5,"2,3,5,7,11,41,43",2^3 * 3^3 * 5^1 * 7^1 * 11^1 * 41^1 * 43^1,0,"13,17,19,23,29,31,37",
42,5,"2,3,5,7,11,23,43",2^4 * 3^3 * 5^1 * 7^1 * 11^1 * 23^1 * 43^1,0,"13,17,19,29,31,37,41",
48,5,"2,3,5,7,13,17",2^7 * 3^2 * 5^2 * 7^2 * 13^1 * 17^1,0,"11,19,23,29,31,37,41,43",
54,5,"2,3,5,7,11,19,29",2^5 * 3^4 * 5^1 * 7^1 * 11^1 * 19^1 * 29^1,0,"13,17,23,31,37,41,43",
62,5,"2,3,5,7,11,13,31",2^8 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1 * 31^1,0,"17,19,23,29,37,41,43",
74,5,"2,3,5,7,11,13,19,37",2^4 * 3^2 * 5^2 * 7^1 * 11^1 * 13^1 * 19^1 * 37^1,0,"17,23,29,31,41,43",
84,5,"2,3,5,7,11,17,29,43",2^6 * 3^2 * 5^1 * 7^1 * 11^1 * 17^1 * 29^1 * 43^1,0,"13,19,23,31,37,41",
152,5,"2,3,5,7,11,13,17,19,31",2^6 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1 * 17^1 * 19^1 * 31^1,0,"23,29,37,41,43",
168,5,"2,3,5,7,13,17,19,43",2^6 * 3^3 * 5^1 * 7^1 * 13^2 * 17^1 * 19^1 * 43^1,0,"11,23,29,31,37,41",
285,5,"2,3,5,7,11,13,17,19,41",2^6 * 3^3 * 5^1 * 7^1 * 11^1 * 13^1 * 17^2 * 19^1 * 41^1,0,"23,29,31,37,43",
286,5,"2,3,5,7,11,13,17,29,41",2^7 * 3^2 * 5^1 * 7^1 * 11^1 * 13^1 * 17^2 * 29^1 * 41^1,0,"19,23,31,37,43",
